Label,# PSMs,# Peptides,# Unique Peptides,Accession,Coverage [%],Description,Gene
FARP1,3,2,2,Q9Y4F1,3,"FERM, ARHGEF and pleckstrin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=FARP1 PE=1 SV=1",FARP1
FERMT2,12,8,8,Q96AC1,14,Fermitin family homolog 2 OS=Homo sapiens OX=9606 GN=FERMT2 PE=1 SV=1,FERMT2
FBN1,8,8,8,P35555,3,Fibrillin-1 OS=Homo sapiens OX=9606 GN=FBN1 PE=1 SV=4,FBN1
FN1,1418,87,87,P02751,54,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5,FN1
FNDC3B,6,5,5,Q53EP0,8,Fibronectin type III domain-containing protein 3B OS=Homo sapiens OX=9606 GN=FNDC3B PE=1 SV=2,FNDC3B
FBLN1,59,10,10,P23142,21,Fibulin-1 OS=Homo sapiens OX=9606 GN=FBLN1 PE=1 SV=4,FBLN1
FLG,20,4,4,P20930,4,Filaggrin OS=Homo sapiens OX=9606 GN=FLG PE=1 SV=3,FLG
FLG2,88,13,13,Q5D862,12,Filaggrin-2 OS=Homo sapiens OX=9606 GN=FLG2 PE=1 SV=1,FLG2
FLNA,850,125,112,P21333,64,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,FLNA
FLNB,161,47,36,O75369,25,Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2,FLNB
FLNC,441,104,90,Q14315,50,Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3,FLNC
FEN1,6,3,3,P39748,11,Flap endonuclease 1 OS=Homo sapiens OX=9606 GN=FEN1 PE=1 SV=1,FEN1
FHL1,6,3,3,Q13642,9,Four and a half LIM domains protein 1 OS=Homo sapiens OX=9606 GN=FHL1 PE=1 SV=4,FHL1
FHL2,39,13,13,Q14192,51,Four and a half LIM domains protein 2 OS=Homo sapiens OX=9606 GN=FHL2 PE=1 SV=3,FHL2
FHL3,3,3,3,Q13643,13,Four and a half LIM domains protein 3 OS=Homo sapiens OX=9606 GN=FHL3 PE=1 SV=4,FHL3
FXR1,24,8,6,P51114,18,Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=3,FXR1
ALDOA,46,13,11,P04075,31,Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2,ALDOA
LGALS1,15,6,6,P09382,51,Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2,LGALS1
LGALS3,4,3,3,P17931,10,Galectin-3 OS=Homo sapiens OX=9606 GN=LGALS3 PE=1 SV=5,LGALS3
LGALS7,36,6,6,P47929,51,Galectin-7 OS=Homo sapiens OX=9606 GN=LGALS7 PE=1 SV=2,LGALS7
IFI16,24,8,8,Q16666,12,Gamma-interferon-inducible protein 16 OS=Homo sapiens OX=9606 GN=IFI16 PE=1 SV=3,IFI16
GSDMA,7,5,5,Q96QA5,15,Gasdermin-A OS=Homo sapiens OX=9606 GN=GSDMA PE=1 SV=4,GSDMA
GSN,51,15,15,P06396,26,Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1,GSN
GTF2F2,4,2,2,P13984,14,General transcription factor IIF subunit 2 OS=Homo sapiens OX=9606 GN=GTF2F2 PE=1 SV=2,GTF2F2
GTF2I,14,10,10,P78347,12,General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=2,GTF2I
PRKCSH,12,7,7,P14314,17,Glucosidase 2 subunit beta OS=Homo sapiens OX=9606 GN=PRKCSH PE=1 SV=2,PRKCSH
GFPT1,4,3,3,Q06210,3,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Homo sapiens OX=9606 GN=GFPT1 PE=1 SV=3,GFPT1
QARS1,5,3,3,P47897,4,Glutamine--tRNA ligase OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1,QARS1
GSTP1,6,3,3,P09211,20,Glutathione S-transferase P OS=Homo sapiens OX=9606 GN=GSTP1 PE=1 SV=2,GSTP1
GAPDH,134,18,18,P04406,59,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,GAPDH
PYGB,6,4,2,P11216,5,"Glycogen phosphorylase, brain form OS=Homo sapiens OX=9606 GN=PYGB PE=1 SV=5",PYGB
GMPS,6,4,4,P49915,6,GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens OX=9606 GN=GMPS PE=1 SV=1,GMPS
GLG1,2,2,2,Q92896,2,Golgi apparatus protein 1 OS=Homo sapiens OX=9606 GN=GLG1 PE=1 SV=2,GLG1
ACBD3,5,2,2,Q9H3P7,7,Golgi resident protein GCP60 OS=Homo sapiens OX=9606 GN=ACBD3 PE=1 SV=4,ACBD3
GOLGA2,3,3,3,Q08379,3,Golgin subfamily A member 2 OS=Homo sapiens OX=9606 GN=GOLGA2 PE=1 SV=3,GOLGA2
GOLGA3,9,4,3,Q08378,3,Golgin subfamily A member 3 OS=Homo sapiens OX=9606 GN=GOLGA3 PE=1 SV=2,GOLGA3
GOLGA4,3,3,2,Q13439,1,Golgin subfamily A member 4 OS=Homo sapiens OX=9606 GN=GOLGA4 PE=1 SV=1,GOLGA4
GOLGB1,6,5,5,Q14789,2,Golgin subfamily B member 1 OS=Homo sapiens OX=9606 GN=GOLGB1 PE=1 SV=2,GOLGB1
RAN,53,6,6,P62826,31,GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3,RAN
GTPBP4,107,19,19,Q9BZE4,33,GTP-binding protein 4 OS=Homo sapiens OX=9606 GN=GTPBP4 PE=1 SV=3,GTPBP4
SAR1A,5,3,3,Q9NR31,27,GTP-binding protein SAR1a OS=Homo sapiens OX=9606 GN=SAR1A PE=1 SV=1,SAR1A
GNB1,2,2,2,P62873,10,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Homo sapiens OX=9606 GN=GNB1 PE=1 SV=3,GNB1
GNL3,73,11,11,Q9BVP2,22,Guanine nucleotide-binding protein-like 3 OS=Homo sapiens OX=9606 GN=GNL3 PE=1 SV=2,GNL3
GAR1,23,3,3,Q9NY12,12,H/ACA ribonucleoprotein complex subunit 1 OS=Homo sapiens OX=9606 GN=GAR1 PE=1 SV=1,GAR1
NHP2,8,2,2,Q9NX24,25,H/ACA ribonucleoprotein complex subunit 2 OS=Homo sapiens OX=9606 GN=NHP2 PE=1 SV=1,NHP2
DKC1,33,10,10,O60832,23,H/ACA ribonucleoprotein complex subunit DKC1 OS=Homo sapiens OX=9606 GN=DKC1 PE=1 SV=3,DKC1
HEATR1,5,3,3,Q9H583,2,HEAT repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=HEATR1 PE=1 SV=3,HEATR1
HSPA1A,89,16,13,P0DMV8,33,Heat shock 70 kDa protein 1A OS=Homo sapiens OX=9606 GN=HSPA1A PE=1 SV=1,HSPA1A
HSPA4,6,3,3,P34932,5,Heat shock 70 kDa protein 4 OS=Homo sapiens OX=9606 GN=HSPA4 PE=1 SV=4,HSPA4
HSPA8,248,28,17,P11142,50,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,HSPA8
HSPH1,4,3,3,Q92598,5,Heat shock protein 105 kDa OS=Homo sapiens OX=9606 GN=HSPH1 PE=1 SV=1,HSPH1
HSPB1,81,10,10,P04792,55,Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2,HSPB1
HSP90AA1,93,19,11,P07900,32,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,HSP90AA1
HSP90AB1,100,22,13,P08238,41,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,HSP90AB1
HBD,8,2,2,P02042,13,Hemoglobin subunit delta OS=Homo sapiens OX=9606 GN=HBD PE=1 SV=2,HBD
HDGF,69,10,10,P51858,49,Hepatoma-derived growth factor OS=Homo sapiens OX=9606 GN=HDGF PE=1 SV=1,HDGF
HDGFL2,15,4,4,Q7Z4V5,6,Hepatoma-derived growth factor-related protein 2 OS=Homo sapiens OX=9606 GN=HDGFL2 PE=1 SV=1,HDGFL2
HDGFL3,40,4,4,Q9Y3E1,20,Hepatoma-derived growth factor-related protein 3 OS=Homo sapiens OX=9606 GN=HDGFL3 PE=1 SV=1,HDGFL3
HP1BP3,273,18,18,Q5SSJ5,43,Heterochromatin protein 1-binding protein 3 OS=Homo sapiens OX=9606 GN=HP1BP3 PE=1 SV=1,HP1BP3
HNRNPAB,56,5,4,Q99729,17,Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=2,HNRNPAB
HNRNPA0,86,8,6,Q13151,31,Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens OX=9606 GN=HNRNPA0 PE=1 SV=1,HNRNPA0
HNRNPA1,291,19,13,P09651,47,Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5,HNRNPA1
HNRNPA3,182,17,14,P51991,39,Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2,HNRNPA3
HNRNPD,120,9,7,Q14103,27,Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1,HNRNPD
HNRNPDL,76,9,7,O14979,21,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3,HNRNPDL
HNRNPF,98,9,7,P52597,30,Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=HNRNPF PE=1 SV=3,HNRNPF
HNRNPH1,188,15,8,P31943,50,Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4,HNRNPH1
HNRNPH2,158,11,5,P55795,35,Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens OX=9606 GN=HNRNPH2 PE=1 SV=1,HNRNPH2
HNRNPH3,50,6,6,P31942,20,Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,HNRNPH3
HNRNPK,425,20,20,P61978,54,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1,HNRNPK
HNRNPL,133,16,16,P14866,39,Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=2,HNRNPL
HNRNPLL,6,3,3,Q8WVV9,8,Heterogeneous nuclear ribonucleoprotein L-like OS=Homo sapiens OX=9606 GN=HNRNPLL PE=1 SV=1,HNRNPLL
HNRNPM,397,37,37,P52272,58,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3,HNRNPM
SYNCRIP,223,25,19,O60506,47,Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2,SYNCRIP
HNRNPR,190,22,16,O43390,42,Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1,HNRNPR
HNRNPU,322,27,27,Q00839,38,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,HNRNPU
HNRNPUL1,47,15,15,Q9BUJ2,24,Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2,HNRNPUL1
HNRNPUL2,40,15,15,Q1KMD3,23,Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens OX=9606 GN=HNRNPUL2 PE=1 SV=1,HNRNPUL2
HNRNPA2B1,336,22,17,P22626,58,Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2,HNRNPA2B1
HNRNPC,185,16,15,P07910,42,Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4,HNRNPC
HMG20A,2,2,2,Q9NP66,6,High mobility group protein 20A OS=Homo sapiens OX=9606 GN=HMG20A PE=1 SV=1,HMG20A
HMGB1,114,11,8,P09429,46,High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3,HMGB1
HMGB2,55,8,6,P26583,31,High mobility group protein B2 OS=Homo sapiens OX=9606 GN=HMGB2 PE=1 SV=2,HMGB2
HMGB3,16,3,3,O15347,20,High mobility group protein B3 OS=Homo sapiens OX=9606 GN=HMGB3 PE=1 SV=4,HMGB3
HMGA1,251,5,5,P17096,23,High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1 PE=1 SV=3,HMGA1
HMGA2,212,6,6,P52926,41,High mobility group protein HMGI-C OS=Homo sapiens OX=9606 GN=HMGA2 PE=1 SV=1,HMGA2
HAL,3,2,2,P42357,4,Histidine ammonia-lyase OS=Homo sapiens OX=9606 GN=HAL PE=1 SV=1,HAL
HRG,7,2,2,P04196,3,Histidine-rich glycoprotein OS=Homo sapiens OX=9606 GN=HRG PE=1 SV=1,HRG
KAT6A,9,5,5,Q92794,2,Histone acetyltransferase KAT6A OS=Homo sapiens OX=9606 GN=KAT6A PE=1 SV=2,KAT6A
KAT7,8,3,3,O95251,6,Histone acetyltransferase KAT7 OS=Homo sapiens OX=9606 GN=KAT7 PE=1 SV=1,KAT7
HDAC1,23,5,5,Q13547,11,Histone deacetylase 1 OS=Homo sapiens OX=9606 GN=HDAC1 PE=1 SV=1,HDAC1
SAP18,12,3,3,O00422,19,Histone deacetylase complex subunit SAP18 OS=Homo sapiens OX=9606 GN=SAP18 PE=1 SV=1,SAP18
H1-0,98,5,5,P07305,27,Histone H1.0 OS=Homo sapiens OX=9606 GN=H1-0 PE=1 SV=3,H1-0
H1-1,188,10,3,Q02539,31,Histone H1.1 OS=Homo sapiens OX=9606 GN=H1-1 PE=1 SV=3,H1-1
H1-10,47,5,5,Q92522,23,Histone H1.10 OS=Homo sapiens OX=9606 GN=H1-10 PE=1 SV=1,H1-10
H1-5,278,12,9,P16401,34,Histone H1.5 OS=Homo sapiens OX=9606 GN=H1-5 PE=1 SV=3,H1-5
H2AC21,138,4,2,Q8IUE6,52,Histone H2A type 2-B OS=Homo sapiens OX=9606 GN=H2AC21 PE=1 SV=3,H2AC21
H2AC20,295,7,3,Q16777,59,Histone H2A type 2-C OS=Homo sapiens OX=9606 GN=H2AC20 PE=1 SV=4,H2AC20
H2AW,278,7,2,Q7L7L0,58,Histone H2A type 3 OS=Homo sapiens OX=9606 GN=H2AW PE=1 SV=3,H2AW
H2AZ2,210,6,4,Q71UI9,54,Histone H2A.V OS=Homo sapiens OX=9606 GN=H2AZ2 PE=1 SV=3,H2AZ2
H2BC4,964,15,8,P62807,73,Histone H2B type 1-C/E/F/G/I OS=Homo sapiens OX=9606 GN=H2BC4 PE=1 SV=4,H2BC4
H2BU1,814,10,3,Q8N257,57,Histone H2B type 3-B OS=Homo sapiens OX=9606 GN=H2BU1 PE=1 SV=3,H2BU1
H4C1,1065,15,15,P62805,59,Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2,H4C1
H3-2,457,13,3,Q5TEC6,58,Histone HIST2H3PS2 OS=Homo sapiens OX=9606 GN=H3-2 PE=1 SV=1,H3-2
PHF8,5,3,2,Q9UPP1,3,Histone lysine demethylase PHF8 OS=Homo sapiens OX=9606 GN=PHF8 PE=1 SV=3,PHF8
RBBP4,42,7,2,Q09028,17,Histone-binding protein RBBP4 OS=Homo sapiens OX=9606 GN=RBBP4 PE=1 SV=3,RBBP4
RBBP7,39,8,3,Q16576,23,Histone-binding protein RBBP7 OS=Homo sapiens OX=9606 GN=RBBP7 PE=1 SV=1,RBBP7
HLA-A,5,3,3,P04439,8,"HLA class I histocompatibility antigen, A alpha chain OS=Homo sapiens OX=9606 GN=HLA-A PE=1 SV=2",HLA-A
HLA-C,4,2,2,P10321,7,"HLA class I histocompatibility antigen, C alpha chain OS=Homo sapiens OX=9606 GN=HLA-C PE=1 SV=3",HLA-C
HRNR,316,18,18,Q86YZ3,19,Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2,HRNR
CDC37,8,5,5,Q16543,15,Hsp90 co-chaperone Cdc37 OS=Homo sapiens OX=9606 GN=CDC37 PE=1 SV=1,CDC37
HYOU1,22,8,8,Q9Y4L1,13,Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1,HYOU1
IGHA1,7,3,2,P01876,10,Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=2,IGHA1
IGHG1,256,4,4,P01857,9,Immunoglobulin heavy constant gamma 1 OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=1,IGHG1
JCHAIN,2,2,2,P01591,13,Immunoglobulin J chain OS=Homo sapiens OX=9606 GN=JCHAIN PE=1 SV=4,JCHAIN
P0DOX7,11,2,2,P0DOX7,14,Immunoglobulin kappa light chain OS=Homo sapiens OX=9606 PE=1 SV=1,
IGLV3-10,2,2,2,A0A075B6K4,14,Immunoglobulin lambda variable 3-10 OS=Homo sapiens OX=9606 GN=IGLV3-10 PE=3 SV=2,IGLV3-10
KPNA4,2,2,2,O00629,11,Importin subunit alpha-3 OS=Homo sapiens OX=9606 GN=KPNA4 PE=1 SV=1,KPNA4
KPNA3,2,2,2,O00505,7,Importin subunit alpha-4 OS=Homo sapiens OX=9606 GN=KPNA3 PE=1 SV=2,KPNA3
KPNA6,11,7,7,O60684,14,Importin subunit alpha-7 OS=Homo sapiens OX=9606 GN=KPNA6 PE=1 SV=1,KPNA6
KPNB1,41,13,13,Q14974,21,Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2,KPNB1
IPO5,5,3,3,O00410,4,Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4,IPO5
IPO7,6,3,3,O95373,4,Importin-7 OS=Homo sapiens OX=9606 GN=IPO7 PE=1 SV=1,IPO7
ING1,3,2,2,Q9UK53,9,Inhibitor of growth protein 1 OS=Homo sapiens OX=9606 GN=ING1 PE=1 SV=2,ING1
IKBIP,21,9,9,Q70UQ0,25,Inhibitor of nuclear factor kappa-B kinase-interacting protein OS=Homo sapiens OX=9606 GN=IKBIP PE=1 SV=1,IKBIP
LEMD3,10,4,4,Q9Y2U8,6,Inner nuclear membrane protein Man1 OS=Homo sapiens OX=9606 GN=LEMD3 PE=1 SV=2,LEMD3
IGF2BP1,48,12,10,Q9NZI8,25,Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens OX=9606 GN=IGF2BP1 PE=1 SV=2,IGF2BP1
IGF2BP2,50,12,10,Q9Y6M1,26,Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens OX=9606 GN=IGF2BP2 PE=1 SV=2,IGF2BP2
IGF2BP3,82,15,12,O00425,34,Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2,IGF2BP3
ITGA2,8,5,5,P17301,6,Integrin alpha-2 OS=Homo sapiens OX=9606 GN=ITGA2 PE=1 SV=1,ITGA2
ITGA5,19,8,8,P08648,10,Integrin alpha-5 OS=Homo sapiens OX=9606 GN=ITGA5 PE=1 SV=2,ITGA5
ITGB1,29,12,12,P05556,20,Integrin beta-1 OS=Homo sapiens OX=9606 GN=ITGB1 PE=1 SV=2,ITGB1
ILK,18,8,8,Q13418,17,Integrin-linked protein kinase OS=Homo sapiens OX=9606 GN=ILK PE=1 SV=2,ILK
EIF2AK2,8,2,2,P19525,5,"Interferon-induced, double-stranded RNA-activated protein kinase OS=Homo sapiens OX=9606 GN=EIF2AK2 PE=1 SV=2",EIF2AK2
ILF2,93,14,14,Q12905,57,Interleukin enhancer-binding factor 2 OS=Homo sapiens OX=9606 GN=ILF2 PE=1 SV=2,ILF2
ILF3,182,32,32,Q12906,44,Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3,ILF3
INF2,2,2,2,Q27J81,2,Inverted formin-2 OS=Homo sapiens OX=9606 GN=INF2 PE=1 SV=2,INF2
JUP,258,23,22,P14923,43,Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3,JUP
KHDRBS1,55,8,6,Q07666,26,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens OX=9606 GN=KHDRBS1 PE=1 SV=1",KHDRBS1
KTN1,14,9,9,Q86UP2,8,Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1,KTN1
KIF5B,8,5,5,P33176,7,Kinesin-1 heavy chain OS=Homo sapiens OX=9606 GN=KIF5B PE=1 SV=1,KIF5B
KANK2,15,8,8,Q63ZY3,13,KN motif and ankyrin repeat domain-containing protein 2 OS=Homo sapiens OX=9606 GN=KANK2 PE=1 SV=1,KANK2
MFGE8,5,2,2,Q08431,9,Lactadherin OS=Homo sapiens OX=9606 GN=MFGE8 PE=1 SV=3,MFGE8
LTF,15,7,7,P02788,12,Lactotransferrin OS=Homo sapiens OX=9606 GN=LTF PE=1 SV=6,LTF
TMPO (2),78,11,2,P42166,23,"Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2",TMPO
TMPO (1),112,15,6,P42167,48,"Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2",TMPO
LMNB1,532,37,31,P20700,61,Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=2,LMNB1
LMNB2,515,39,33,Q03252,56,Lamin-B2 OS=Homo sapiens OX=9606 GN=LMNB2 PE=1 SV=4,LMNB2
LAMB1,13,6,6,P07942,4,Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=2,LAMB1
LAMC1,11,6,6,P11047,5,Laminin subunit gamma-1 OS=Homo sapiens OX=9606 GN=LAMC1 PE=1 SV=3,LAMC1
LARP1,2,2,2,Q6PKG0,2,La-related protein 1 OS=Homo sapiens OX=9606 GN=LARP1 PE=1 SV=2,LARP1
LARP7,3,2,2,Q4G0J3,7,La-related protein 7 OS=Homo sapiens OX=9606 GN=LARP7 PE=1 SV=1,LARP7
LTBP1,9,4,4,Q14766,3,Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens OX=9606 GN=LTBP1 PE=1 SV=4,LTBP1
LEMD2,14,4,4,Q8NC56,8,LEM domain-containing protein 2 OS=Homo sapiens OX=9606 GN=LEMD2 PE=1 SV=1,LEMD2
LUZP1,10,6,6,Q86V48,6,Leucine zipper protein 1 OS=Homo sapiens OX=9606 GN=LUZP1 PE=1 SV=2,LUZP1
LRRC59,122,12,12,Q96AG4,46,Leucine-rich repeat-containing protein 59 OS=Homo sapiens OX=9606 GN=LRRC59 PE=1 SV=1,LRRC59
LIMS1,8,4,4,P48059,13,LIM and senescent cell antigen-like-containing domain protein 1 OS=Homo sapiens OX=9606 GN=LIMS1 PE=1 SV=4,LIMS1
LASP1,34,11,11,Q14847,42,LIM and SH3 domain protein 1 OS=Homo sapiens OX=9606 GN=LASP1 PE=1 SV=2,LASP1
LIMA1,10,6,6,Q9UHB6,11,LIM domain and actin-binding protein 1 OS=Homo sapiens OX=9606 GN=LIMA1 PE=1 SV=1,LIMA1
LMO7,107,45,45,Q8WWI1,33,LIM domain only protein 7 OS=Homo sapiens OX=9606 GN=LMO7 PE=1 SV=3,LMO7
LIMD1,2,2,2,Q9UGP4,6,LIM domain-containing protein 1 OS=Homo sapiens OX=9606 GN=LIMD1 PE=1 SV=1,LIMD1
LPP,10,5,5,Q93052,13,Lipoma-preferred partner OS=Homo sapiens OX=9606 GN=LPP PE=1 SV=1,LPP
LPL,4,2,2,P06858,8,Lipoprotein lipase OS=Homo sapiens OX=9606 GN=LPL PE=1 SV=1,LPL
PPFIBP1,3,3,3,Q86W92,4,Liprin-beta-1 OS=Homo sapiens OX=9606 GN=PPFIBP1 PE=1 SV=2,PPFIBP1
LDHA,24,8,7,P00338,25,L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2,LDHA
LUC7L3,13,5,5,O95232,16,Luc7-like protein 3 OS=Homo sapiens OX=9606 GN=LUC7L3 PE=1 SV=2,LUC7L3
SSB,21,6,6,P05455,18,Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2,SSB
KDM2A,13,4,4,Q9Y2K7,4,Lysine-specific demethylase 2A OS=Homo sapiens OX=9606 GN=KDM2A PE=1 SV=3,KDM2A
PHF2,16,7,6,O75151,8,Lysine-specific demethylase PHF2 OS=Homo sapiens OX=9606 GN=PHF2 PE=1 SV=4,PHF2
LYZ,53,5,5,P61626,28,Lysozyme C OS=Homo sapiens OX=9606 GN=LYZ PE=1 SV=1,LYZ
LOXL2,9,5,5,Q9Y4K0,10,Lysyl oxidase homolog 2 OS=Homo sapiens OX=9606 GN=LOXL2 PE=1 SV=1,LOXL2
MVP,5,3,3,Q14764,5,Major vault protein OS=Homo sapiens OX=9606 GN=MVP PE=1 SV=4,MVP
MOGS,19,6,6,Q13724,10,Mannosyl-oligosaccharide glucosidase OS=Homo sapiens OX=9606 GN=MOGS PE=1 SV=5,MOGS
MATR3,134,26,26,P43243,36,Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2,MATR3
MT1X,7,2,2,P80297,33,Metallothionein-1X OS=Homo sapiens OX=9606 GN=MT1X PE=1 SV=1,MT1X
MTA2,30,6,6,O94776,10,Metastasis-associated protein MTA2 OS=Homo sapiens OX=9606 GN=MTA2 PE=1 SV=1,MTA2
MBD1,24,4,4,Q9UIS9,10,Methyl-CpG-binding domain protein 1 OS=Homo sapiens OX=9606 GN=MBD1 PE=1 SV=2,MBD1
MECP2,23,7,7,P51608,21,Methyl-CpG-binding protein 2 OS=Homo sapiens OX=9606 GN=MECP2 PE=1 SV=1,MECP2
MFAP1,4,2,2,P55081,5,Microfibrillar-associated protein 1 OS=Homo sapiens OX=9606 GN=MFAP1 PE=1 SV=2,MFAP1
MACF1,34,20,18,Q9UPN3,3,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4",MACF1
MAP4,22,5,5,P27816,6,Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3,MAP4
MAPK1,5,3,3,P28482,7,Mitogen-activated protein kinase 1 OS=Homo sapiens OX=9606 GN=MAPK1 PE=1 SV=3,MAPK1
MAP4K4,2,2,2,O95819,2,Mitogen-activated protein kinase kinase kinase kinase 4 OS=Homo sapiens OX=9606 GN=MAP4K4 PE=1 SV=2,MAP4K4
BUB3,11,4,4,O43684,13,Mitotic checkpoint protein BUB3 OS=Homo sapiens OX=9606 GN=BUB3 PE=1 SV=1,BUB3
NIFK,13,3,3,Q9BYG3,11,MKI67 FHA domain-interacting nucleolar phosphoprotein OS=Homo sapiens OX=9606 GN=NIFK PE=1 SV=1,NIFK
MSN,188,32,22,P26038,50,Moesin OS=Homo sapiens OX=9606 GN=MSN PE=1 SV=3,MSN
