Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot,calc. pI
CCDC137,289,138,9,9,9,Q6PK04,30,Coiled-coil domain-containing protein 137 OS=Homo sapiens GN=CCDC137 PE=1 SV=1,CCDC137,33.2,2933,10.93
CKAP2,683,63,4,4,4,Q8WWK9,7,Cytoskeleton-associated protein 2 OS=Homo sapiens GN=CKAP2 PE=1 SV=1,CKAP2,76.9,2927,9.41
RPS26,115,139,2,2,2,P62854,21,40S ribosomal protein S26 OS=Homo sapiens GN=RPS26 PE=1 SV=3,RPS26,13.0,2913,11.0
DYNLL2,89,200,4,4,2,Q96FJ2,57,"Dynein light chain 2, cytoplasmic OS=Homo sapiens GN=DYNLL2 PE=1 SV=1",DYNLL2,10.3,2902,7.37
WDR82,313,376,5,5,4,Q6UXN9,19,WD repeat-containing protein 82 OS=Homo sapiens GN=WDR82 PE=1 SV=1,WDR82,35.1,2900,7.69
WIZ,965,159,13,13,13,O95785-3,18,Isoform 3 of Protein Wiz OS=Homo sapiens GN=WIZ,WIZ,102.9,2900,9.52
SLC16A3,465,104,5,5,5,O15427,12,Monocarboxylate transporter 4 OS=Homo sapiens GN=SLC16A3 PE=1 SV=1,SLC16A3,49.4,2885,7.96
NOP9,636,119,5,5,5,Q86U38,13,Nucleolar protein 9 OS=Homo sapiens GN=NOP9 PE=1 SV=1,NOP9,69.4,2876,7.28
RPL38,70,164,3,3,3,P63173,39,60S ribosomal protein L38 OS=Homo sapiens GN=RPL38 PE=1 SV=2,RPL38,8.2,2870,10.1
HAX1,279,153,9,9,9,O00165,53,HCLS1-associated protein X-1 OS=Homo sapiens GN=HAX1 PE=1 SV=2,HAX1,31.6,2869,4.92
NUSAP1,441,136,6,6,6,Q9BXS6,19,Nucleolar and spindle-associated protein 1 OS=Homo sapiens GN=NUSAP1 PE=1 SV=1,NUSAP1,49.4,2867,9.91
YWHAZ,245,119,5,5,3,P63104,28,14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1,YWHAZ,27.7,2865,4.79
CPSF3,684,97,4,4,4,Q9UKF6,8,Cleavage and polyadenylation specificity factor subunit 3 OS=Homo sapiens GN=CPSF3 PE=1 SV=1,CPSF3,77.4,2862,5.6
MRTO4,239,129,11,11,11,Q9UKD2,51,mRNA turnover protein 4 homolog OS=Homo sapiens GN=MRTO4 PE=1 SV=2,MRTO4,27.5,2860,8.29
NAIF1,327,65,3,3,3,Q69YI7,22,Nuclear apoptosis-inducing factor 1 OS=Homo sapiens GN=NAIF1 PE=1 SV=1,NAIF1,35.1,2860,7.21
CDC73,531,123,5,5,5,Q6P1J9,11,Parafibromin OS=Homo sapiens GN=CDC73 PE=1 SV=1,CDC73,60.5,2841,9.61
SPATA5,893,138,10,10,10,Q8NB90,18,Spermatogenesis-associated protein 5 OS=Homo sapiens GN=SPATA5 PE=1 SV=3,SPATA5,97.8,2839,5.66
USF2,346,99,6,6,5,Q15853,16,Upstream stimulatory factor 2 OS=Homo sapiens GN=USF2 PE=2 SV=1,USF2,36.9,2830,5.1
MBD4,580,158,10,10,10,O95243,19,Methyl-CpG-binding domain protein 4 OS=Homo sapiens GN=MBD4 PE=1 SV=1,MBD4,66.0,2828,8.82
PHGDH,533,170,8,8,8,O43175,20,D-3-phosphoglycerate dehydrogenase OS=Homo sapiens GN=PHGDH PE=1 SV=4,PHGDH,56.6,2824,6.71
SPATS2,545,131,10,10,10,Q86XZ4,25,Spermatogenesis-associated serine-rich protein 2 OS=Homo sapiens GN=SPATS2 PE=1 SV=1,SPATS2,59.5,2804,8.9
ARPC5L,153,126,4,4,3,Q9BPX5,38,Actin-related protein 2/3 complex subunit 5-like protein OS=Homo sapiens GN=ARPC5L PE=1 SV=1,ARPC5L,16.9,2789,6.6
ING5,240,105,6,6,4,Q8WYH8,26,Inhibitor of growth protein 5 OS=Homo sapiens GN=ING5 PE=1 SV=1,ING5,27.7,2786,7.61
BCAS2,225,99,4,4,4,O75934,32,Pre-mRNA-splicing factor SPF27 OS=Homo sapiens GN=BCAS2 PE=1 SV=1,BCAS2,26.1,2770,5.66
AP2M1,435,177,11,11,11,Q96CW1,26,AP-2 complex subunit mu OS=Homo sapiens GN=AP2M1 PE=1 SV=2,AP2M1,49.6,2766,9.54
ARGLU1,273,158,5,5,5,Q9NWB6,14,Arginine and glutamate-rich protein 1 OS=Homo sapiens GN=ARGLU1 PE=1 SV=1,ARGLU1,33.2,2756,10.35
CAPRIN1,709,112,11,11,11,Q14444,22,Caprin-1 OS=Homo sapiens GN=CAPRIN1 PE=1 SV=2,CAPRIN1,78.3,2742,5.25
FAM133B,247,63,2,2,2,Q5BKY9,15,Protein FAM133B OS=Homo sapiens GN=FAM133B PE=1 SV=1,FAM133B,28.4,2730,10.02
ALG3,438,76,3,3,3,Q92685,7,"Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase OS=Homo sapiens GN=ALG3 PE=1 SV=1",ALG3,50.1,2718,9.44
BCKDHB,392,90,4,4,4,P21953,13,"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Homo sapiens GN=BCKDHB PE=1 SV=2",BCKDHB,43.1,2710,6.29
TBL2,447,144,6,6,6,Q9Y4P3,15,Transducin beta-like protein 2 OS=Homo sapiens GN=TBL2 PE=1 SV=1,TBL2,49.8,2710,9.44
TICRR,1910,128,19,19,19,Q7Z2Z1,14,Treslin OS=Homo sapiens GN=TICRR PE=1 SV=2,TICRR,210.7,2709,8.78
DOCK8,2099,166,22,22,20,Q8NF50,12,Dedicator of cytokinesis protein 8 OS=Homo sapiens GN=DOCK8 PE=1 SV=3,DOCK8,238.4,2702,6.87
USMG5,58,43,2,2,2,Q96IX5,43,Up-regulated during skeletal muscle growth protein 5 OS=Homo sapiens GN=USMG5 PE=1 SV=1,USMG5,6.5,2688,9.76
MAK16,300,84,6,6,6,Q9BXY0,27,Protein MAK16 homolog OS=Homo sapiens GN=MAK16 PE=1 SV=2,MAK16,35.3,2686,5.38
BANF1,89,132,4,4,4,O75531,29,Barrier-to-autointegration factor OS=Homo sapiens GN=BANF1 PE=1 SV=1,BANF1,10.1,2671,6.09
ARL1,181,106,5,5,5,P40616,40,ADP-ribosylation factor-like protein 1 OS=Homo sapiens GN=ARL1 PE=1 SV=1,ARL1,20.4,2668,5.72
MAGED2,606,111,6,6,6,Q9UNF1,13,Melanoma-associated antigen D2 OS=Homo sapiens GN=MAGED2 PE=1 SV=2,MAGED2,64.9,2657,9.32
WDR12,423,142,12,12,12,Q9GZL7,45,Ribosome biogenesis protein WDR12 OS=Homo sapiens GN=WDR12 PE=1 SV=2,WDR12,47.7,2657,5.9
GAPDH,335,95,7,7,7,P04406,33,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens GN=GAPDH PE=1 SV=3,GAPDH,36.0,2631,8.46
CHAMP1,812,117,8,8,8,Q96JM3,10,Chromosome alignment-maintaining phosphoprotein 1 OS=Homo sapiens GN=CHAMP1 PE=1 SV=2,CHAMP1,89.0,2629,8.44
TIMM13,95,61,2,2,2,Q9Y5L4,26,Mitochondrial import inner membrane translocase subunit Tim13 OS=Homo sapiens GN=TIMM13 PE=1 SV=1,TIMM13,10.5,2626,8.18
NKTR,1462,151,14,14,14,P30414,12,NK-tumor recognition protein OS=Homo sapiens GN=NKTR PE=1 SV=2,NKTR,165.6,2620,9.99
ISY1,285,66,5,5,5,Q9ULR0,23,Pre-mRNA-splicing factor ISY1 homolog OS=Homo sapiens GN=ISY1 PE=1 SV=3,ISY1,33.0,2609,5.17
CD97,835,69,4,4,4,P48960,9,CD97 antigen OS=Homo sapiens GN=CD97 PE=1 SV=4,CD97,91.8,2605,6.87
SLC25A10,287,117,7,7,7,Q9UBX3,34,Mitochondrial dicarboxylate carrier OS=Homo sapiens GN=SLC25A10 PE=1 SV=2,SLC25A10,31.3,2600,9.54
SKI,728,81,6,6,6,P12755,13,Ski oncogene OS=Homo sapiens GN=SKI PE=1 SV=1,SKI,80.0,2581,7.62
MEPCE,689,105,6,6,6,Q7L2J0,16,7SK snRNA methylphosphate capping enzyme OS=Homo sapiens GN=MEPCE PE=1 SV=1,MEPCE,74.3,2580,9.57
INTS3,1043,95,10,10,10,Q68E01,15,Integrator complex subunit 3 OS=Homo sapiens GN=INTS3 PE=1 SV=1,INTS3,118.0,2580,5.8
RPS29,56,81,2,2,2,P62273,32,40S ribosomal protein S29 OS=Homo sapiens GN=RPS29 PE=1 SV=2,RPS29,6.7,2573,10.13
CLASRP,674,88,6,6,6,Q8N2M8,20,CLK4-associating serine/arginine rich protein OS=Homo sapiens GN=CLASRP PE=1 SV=4,CLASRP,77.1,2569,10.45
FOXC1,553,88,6,6,6,Q12948,19,Forkhead box protein C1 OS=Homo sapiens GN=FOXC1 PE=1 SV=3,FOXC1,56.8,2569,8.51
CSNK2A2,350,183,10,10,8,P19784,36,Casein kinase II subunit alpha' OS=Homo sapiens GN=CSNK2A2 PE=1 SV=1,CSNK2A2,41.2,2567,8.56
ATXN2L,1075,175,14,14,14,Q8WWM7,16,Ataxin-2-like protein OS=Homo sapiens GN=ATXN2L PE=1 SV=2,ATXN2L,113.3,2542,8.59
SQSTM1,440,90,6,6,6,Q13501,22,Sequestosome-1 OS=Homo sapiens GN=SQSTM1 PE=1 SV=1,SQSTM1,47.7,2541,5.22
TFB2M,396,154,8,8,8,Q9H5Q4,19,"Dimethyladenosine transferase 2, mitochondrial OS=Homo sapiens GN=TFB2M PE=1 SV=1",TFB2M,45.3,2530,9.19
ZNF318,2279,168,22,22,22,Q5VUA4,14,Zinc finger protein 318 OS=Homo sapiens GN=ZNF318 PE=1 SV=2,ZNF318,251.0,2530,7.2
NKAP,415,62,3,3,3,Q8N5F7,8,NF-kappa-B-activating protein OS=Homo sapiens GN=NKAP PE=1 SV=1,NKAP,47.1,2523,10.11
CBX3,183,98,6,6,4,Q13185,51,Chromobox protein homolog 3 OS=Homo sapiens GN=CBX3 PE=1 SV=4,CBX3,20.8,2510,5.33
TGFBR1,503,106,6,6,6,P36897,19,TGF-beta receptor type-1 OS=Homo sapiens GN=TGFBR1 PE=1 SV=1,TGFBR1,55.9,2505,7.55
SNIP1,396,154,13,13,13,Q8TAD8,36,Smad nuclear-interacting protein 1 OS=Homo sapiens GN=SNIP1 PE=1 SV=1,SNIP1,45.8,2503,9.99
CCDC59,241,111,5,5,5,Q9P031,23,Thyroid transcription factor 1-associated protein 26 OS=Homo sapiens GN=CCDC59 PE=1 SV=2,CCDC59,28.7,2496,9.88
RAB21,225,74,3,3,3,Q9UL25,16,Ras-related protein Rab-21 OS=Homo sapiens GN=RAB21 PE=1 SV=3,RAB21,24.3,2493,7.94
AQR,1485,193,21,21,21,O60306,17,Intron-binding protein aquarius OS=Homo sapiens GN=AQR PE=1 SV=4,AQR,171.2,2492,6.37
BRPF1,1214,143,15,15,13,P55201,15,Peregrin OS=Homo sapiens GN=BRPF1 PE=1 SV=2,BRPF1,137.4,2478,7.93
CCAR1,1150,169,11,11,11,Q8IX12,13,Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens GN=CCAR1 PE=1 SV=2,CCAR1,132.7,2473,5.76
SENP1,644,120,10,10,10,Q9P0U3,20,Sentrin-specific protease 1 OS=Homo sapiens GN=SENP1 PE=1 SV=2,SENP1,73.4,2472,8.47
MTFR1,333,116,6,6,6,Q15390,23,Mitochondrial fission regulator 1 OS=Homo sapiens GN=MTFR1 PE=1 SV=2,MTFR1,37.0,2466,9.01
DHX16,1041,112,5,5,4,O60231,5,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 OS=Homo sapiens GN=DHX16 PE=1 SV=2,DHX16,119.2,2464,6.8
ORC4,436,83,8,8,8,O43929,26,Origin recognition complex subunit 4 OS=Homo sapiens GN=ORC4 PE=1 SV=2,ORC4,50.3,2456,8.0
RAB6A,208,79,3,3,2,P20340,16,Ras-related protein Rab-6A OS=Homo sapiens GN=RAB6A PE=1 SV=3,RAB6A,23.6,2448,5.54
AHDC1,1603,75,6,6,6,Q5TGY3,6,AT-hook DNA-binding motif-containing protein 1 OS=Homo sapiens GN=AHDC1 PE=1 SV=1,AHDC1,168.2,2427,9.04
Q3SZR3,202,149,7,7,7,Q3SZR3,34,SWISS-PROT:Q3SZR3 (Bos taurus) Alpha-1-acid glycoprotein precursor,,23.2,2424,5.87
ACTL6A,429,138,7,7,7,O96019,27,Actin-like protein 6A OS=Homo sapiens GN=ACTL6A PE=1 SV=1,ACTL6A,47.4,2421,5.6
CDS2,445,56,2,2,2,O95674,7,Phosphatidate cytidylyltransferase 2 OS=Homo sapiens GN=CDS2 PE=1 SV=1,CDS2,51.4,2411,7.09
NR2F1,423,90,5,5,5,P10589,12,COUP transcription factor 1 OS=Homo sapiens GN=NR2F1 PE=1 SV=1,NR2F1,46.1,2398,8.25
ZNF740,193,102,4,4,4,Q8NDX6,18,Zinc finger protein 740 OS=Homo sapiens GN=ZNF740 PE=1 SV=1,ZNF740,21.8,2393,9.19
NOP10,64,46,3,3,3,Q9NPE3,45,H/ACA ribonucleoprotein complex subunit 3 OS=Homo sapiens GN=NOP10 PE=1 SV=1,NOP10,7.7,2380,9.99
MYC,454,125,6,6,6,P01106-2,15,Isoform 2 of Myc proto-oncogene protein OS=Homo sapiens GN=MYC,MYC,50.5,2357,5.43
ORC2,577,95,12,12,12,Q13416,31,Origin recognition complex subunit 2 OS=Homo sapiens GN=ORC2 PE=1 SV=2,ORC2,65.9,2354,6.51
KMT2B,2715,119,7,7,6,Q9UMN6,4,Histone-lysine N-methyltransferase 2B OS=Homo sapiens GN=KMT2B PE=1 SV=1,KMT2B,293.3,2336,8.22
ZFP91,570,127,7,7,7,Q96JP5,17,E3 ubiquitin-protein ligase ZFP91 OS=Homo sapiens GN=ZFP91 PE=1 SV=1,ZFP91,63.4,2334,7.36
BMI1,326,79,6,6,4,P35226,30,Polycomb complex protein BMI-1 OS=Homo sapiens GN=BMI1 PE=1 SV=2,BMI1,36.9,2314,8.63
RSL24D1,163,74,2,2,2,Q9UHA3,17,Probable ribosome biogenesis protein RLP24 OS=Homo sapiens GN=RSL24D1 PE=1 SV=1,RSL24D1,19.6,2310,9.98
SLC25A11,314,123,5,5,5,Q02978,17,Mitochondrial 2-oxoglutarate/malate carrier protein OS=Homo sapiens GN=SLC25A11 PE=1 SV=3,SLC25A11,34.0,2301,9.91
G3BP2,482,96,5,5,5,Q9UN86,14,Ras GTPase-activating protein-binding protein 2 OS=Homo sapiens GN=G3BP2 PE=1 SV=2,G3BP2,54.1,2287,5.55
MRPS34,218,122,7,7,7,P82930,31,"28S ribosomal protein S34, mitochondrial OS=Homo sapiens GN=MRPS34 PE=1 SV=2",MRPS34,25.6,2276,9.98
CWC22,908,98,11,11,11,Q9HCG8,13,Pre-mRNA-splicing factor CWC22 homolog OS=Homo sapiens GN=CWC22 PE=1 SV=3,CWC22,105.4,2273,7.03
TAP2,686,120,9,9,9,Q03519,20,Antigen peptide transporter 2 OS=Homo sapiens GN=TAP2 PE=1 SV=1,TAP2,75.6,2271,8.02
CD3EAP,510,98,6,6,6,O15446,26,DNA-directed RNA polymerase I subunit RPA34 OS=Homo sapiens GN=CD3EAP PE=1 SV=1,CD3EAP,55.0,2269,8.51
BANP,519,57,2,2,2,Q8N9N5,5,Protein BANP OS=Homo sapiens GN=BANP PE=1 SV=3,BANP,56.5,2266,5.49
NUDT21,227,108,7,7,7,O43809,43,Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens GN=NUDT21 PE=1 SV=1,NUDT21,26.2,2266,8.82
NSUN5,429,113,4,4,4,Q96P11,12,Putative methyltransferase NSUN5 OS=Homo sapiens GN=NSUN5 PE=1 SV=2,NSUN5,46.7,2263,8.62
C19orf47,422,106,8,8,8,Q8N9M1,27,Uncharacterized protein C19orf47 OS=Homo sapiens GN=C19orf47 PE=1 SV=1,C19orf47,44.7,2257,10.11
CWC15,229,67,2,2,2,Q9P013,8,Spliceosome-associated protein CWC15 homolog OS=Homo sapiens GN=CWC15 PE=1 SV=2,CWC15,26.6,2254,5.71
STT3A,705,107,8,8,8,P46977,12,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Homo sapiens GN=STT3A PE=1 SV=2,STT3A,80.5,2253,8.07
TRMT1L,733,117,9,9,9,Q7Z2T5,24,TRMT1-like protein OS=Homo sapiens GN=TRMT1L PE=1 SV=2,TRMT1L,81.7,2241,7.88
TSR3,312,41,2,2,2,Q9UJK0,11,Ribosome biogenesis protein TSR3 homolog OS=Homo sapiens GN=TSR3 PE=1 SV=1,TSR3,33.6,2238,6.87
UBE2I,158,140,6,6,6,P63279,61,SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=1 SV=1,UBE2I,18.0,2224,8.66
LYPD3,346,107,6,6,6,O95274,23,Ly6/PLAUR domain-containing protein 3 OS=Homo sapiens GN=LYPD3 PE=1 SV=2,LYPD3,35.9,2221,7.75
ATP5B,529,87,9,9,9,P06576,27,"ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3",ATP5B,56.5,2203,5.4
PRPF3,683,76,8,8,8,O43395,13,U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens GN=PRPF3 PE=1 SV=2,PRPF3,77.5,2198,9.5
CLOCK,846,115,7,7,7,O15516,13,Circadian locomoter output cycles protein kaput OS=Homo sapiens GN=CLOCK PE=1 SV=1,CLOCK,95.2,2198,7.01
MDC1,2089,133,15,15,15,Q14676,14,Mediator of DNA damage checkpoint protein 1 OS=Homo sapiens GN=MDC1 PE=1 SV=3,MDC1,226.5,2188,5.47
LRCH3,777,124,9,9,9,Q96II8,19,Leucine-rich repeat and calponin homology domain-containing protein 3 OS=Homo sapiens GN=LRCH3 PE=1 SV=2,LRCH3,86.0,2184,6.71
C17orf85,620,61,6,6,6,Q53F19,11,Uncharacterized protein C17orf85 OS=Homo sapiens GN=C17orf85 PE=1 SV=2,C17orf85,70.5,2148,5.73
CDK12,1490,130,7,7,6,Q9NYV4,7,Cyclin-dependent kinase 12 OS=Homo sapiens GN=CDK12 PE=1 SV=2,CDK12,164.1,2145,9.44
RPL36A,106,138,3,3,3,P83881,24,60S ribosomal protein L36a OS=Homo sapiens GN=RPL36A PE=1 SV=2,RPL36A,12.4,2142,10.58
INTS1,2190,99,11,11,11,Q8N201,6,Integrator complex subunit 1 OS=Homo sapiens GN=INTS1 PE=1 SV=2,INTS1,244.1,2134,6.13
SDF4,362,98,7,7,6,Q9BRK5,20,45 kDa calcium-binding protein OS=Homo sapiens GN=SDF4 PE=1 SV=1,SDF4,41.8,2126,4.86
SMPDL3B,455,72,5,5,5,Q92485,15,Acid sphingomyelinase-like phosphodiesterase 3b OS=Homo sapiens GN=SMPDL3B PE=2 SV=2,SMPDL3B,50.8,2115,5.64
NR3C1,777,65,3,3,3,P04150,5,Glucocorticoid receptor OS=Homo sapiens GN=NR3C1 PE=1 SV=1,NR3C1,85.6,2104,6.38
LSG1,658,111,9,9,9,Q9H089,18,Large subunit GTPase 1 homolog OS=Homo sapiens GN=LSG1 PE=1 SV=2,LSG1,75.2,2103,6.38
CALD1,793,96,6,6,6,Q05682,10,Caldesmon OS=Homo sapiens GN=CALD1 PE=1 SV=3,CALD1,93.2,2102,5.66
SNRPG,76,76,3,3,3,P62308,26,Small nuclear ribonucleoprotein G OS=Homo sapiens GN=SNRPG PE=1 SV=1,SNRPG,8.5,2095,8.88
ZC3H14,736,109,15,15,15,Q6PJT7,31,Zinc finger CCCH domain-containing protein 14 OS=Homo sapiens GN=ZC3H14 PE=1 SV=1,ZC3H14,82.8,2089,7.31
PPAN,473,146,9,9,9,Q9NQ55,25,Suppressor of SWI4 1 homolog OS=Homo sapiens GN=PPAN PE=1 SV=1,PPAN,53.2,2089,10.13
CACNA2D1,1103,64,7,7,7,P54289,11,Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Homo sapiens GN=CACNA2D1 PE=1 SV=3,CACNA2D1,124.5,2083,5.27
RBFOX2,451,119,7,7,7,O43251-8,23,Isoform 8 of RNA binding protein fox-1 homolog 2 OS=Homo sapiens GN=RBFOX2,RBFOX2,47.3,2079,6.62
FMNL3,1028,152,10,10,2,Q8IVF7,10,Formin-like protein 3 OS=Homo sapiens GN=FMNL3 PE=1 SV=3,FMNL3,117.1,2077,6.65
NUP188,1749,114,11,11,11,Q5SRE5,8,Nucleoporin NUP188 homolog OS=Homo sapiens GN=NUP188 PE=1 SV=1,NUP188,195.9,2071,6.73
DHRS7B,325,55,6,6,6,Q6IAN0,22,Dehydrogenase/reductase SDR family member 7B OS=Homo sapiens GN=DHRS7B PE=1 SV=2,DHRS7B,35.1,2067,9.55
PTPMT1,201,88,5,5,5,Q8WUK0,25,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 OS=Homo sapiens GN=PTPMT1 PE=1 SV=1,PTPMT1,22.8,2065,9.77
KIF1C,1103,38,4,4,4,O43896,4,Kinesin-like protein KIF1C OS=Homo sapiens GN=KIF1C PE=1 SV=3,KIF1C,122.9,2052,6.9
DIXDC1,683,89,9,9,9,Q155Q3,14,Dixin OS=Homo sapiens GN=DIXDC1 PE=1 SV=2,DIXDC1,77.4,2046,6.24
EXOSC9,439,80,4,4,4,Q06265,10,Exosome complex component RRP45 OS=Homo sapiens GN=EXOSC9 PE=1 SV=3,EXOSC9,48.9,2029,5.29
NSD1,2696,66,5,5,4,Q96L73,2,"Histone-lysine N-methyltransferase, H3 lysine-36 and H4 lysine-20 specific OS=Homo sapiens GN=NSD1 PE=1 SV=1",NSD1,296.5,2026,8.03
RBM4B,359,83,7,7,6,Q9BQ04,22,RNA-binding protein 4B OS=Homo sapiens GN=RBM4B PE=1 SV=1,RBM4B,40.1,2015,6.74
JMJD1C,2540,160,20,20,20,Q15652,10,Probable JmjC domain-containing histone demethylation protein 2C OS=Homo sapiens GN=JMJD1C PE=1 SV=2,JMJD1C,284.3,2013,7.87
FAM98A,519,62,4,4,4,Q8NCA5,14,Protein FAM98A OS=Homo sapiens GN=FAM98A PE=1 SV=1,FAM98A,55.4,1999,9.03
NUP205,2012,93,11,11,11,Q92621,7,Nuclear pore complex protein Nup205 OS=Homo sapiens GN=NUP205 PE=1 SV=3,NUP205,227.8,1996,6.19
MGA,3026,127,22,22,22,Q8IWI9,9,MAX gene-associated protein OS=Homo sapiens GN=MGA PE=1 SV=3,MGA,331.6,1990,6.79
DYNC1H1,4646,109,9,9,9,Q14204,3,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5,DYNC1H1,532.1,1989,6.4
RCOR1,482,98,10,10,10,Q9UKL0,29,REST corepressor 1 OS=Homo sapiens GN=RCOR1 PE=1 SV=1,RCOR1,53.0,1982,7.03
SYF2,243,49,2,2,2,O95926,7,Pre-mRNA-splicing factor SYF2 OS=Homo sapiens GN=SYF2 PE=1 SV=1,SYF2,28.7,1981,8.4
ARL2,184,79,7,7,7,P36404,44,ADP-ribosylation factor-like protein 2 OS=Homo sapiens GN=ARL2 PE=1 SV=4,ARL2,20.9,1981,6.34
EGFR,1210,102,9,9,9,P00533,10,Epidermal growth factor receptor OS=Homo sapiens GN=EGFR PE=1 SV=2,EGFR,134.2,1977,6.68
ARL6IP4,360,93,4,4,4,Q66PJ3,15,ADP-ribosylation factor-like protein 6-interacting protein 4 OS=Homo sapiens GN=ARL6IP4 PE=1 SV=1,ARL6IP4,38.4,1968,11.12
HEATR1,2144,108,15,15,15,Q9H583,9,HEAT repeat-containing protein 1 OS=Homo sapiens GN=HEATR1 PE=1 SV=3,HEATR1,242.2,1962,6.54
MAX,160,113,7,7,7,P61244,59,Protein max OS=Homo sapiens GN=MAX PE=1 SV=1,MAX,18.3,1961,6.3
ZC3H13,1668,99,10,10,2,Q5T200,8,Zinc finger CCCH domain-containing protein 13 OS=Homo sapiens GN=ZC3H13 PE=1 SV=1,ZC3H13,196.5,1959,9.42
PPHLN1,374,104,9,9,3,Q8NEY8-2,26,Isoform 2 of Periphilin-1 OS=Homo sapiens GN=PPHLN1,PPHLN1,43.4,1953,7.68
SRP9,86,129,3,3,3,P49458,30,Signal recognition particle 9 kDa protein OS=Homo sapiens GN=SRP9 PE=1 SV=2,SRP9,10.1,1932,7.97
POP1,1024,87,8,8,8,Q99575,11,Ribonucleases P/MRP protein subunit POP1 OS=Homo sapiens GN=POP1 PE=1 SV=2,POP1,114.6,1928,9.22
FANCM,2048,76,8,8,8,Q8IYD8,5,Fanconi anemia group M protein OS=Homo sapiens GN=FANCM PE=1 SV=2,FANCM,232.0,1923,6.11
H2AFY,372,75,4,4,4,O75367,15,Core histone macro-H2A.1 OS=Homo sapiens GN=H2AFY PE=1 SV=4,H2AFY,39.6,1922,9.79
NAP1L1,391,76,3,3,3,P55209,12,Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=1 SV=1,NAP1L1,45.3,1919,4.46
CORO1C,474,48,2,2,2,Q9ULV4,4,Coronin-1C OS=Homo sapiens GN=CORO1C PE=1 SV=1,CORO1C,53.2,1904,7.08
NCBP2,156,91,2,2,2,P52298,10,Nuclear cap-binding protein subunit 2 OS=Homo sapiens GN=NCBP2 PE=1 SV=1,NCBP2,18.0,1900,8.21
CACTIN,758,64,7,7,7,Q8WUQ7,13,Cactin OS=Homo sapiens GN=CACTIN PE=1 SV=3,CACTIN,88.6,1898,9.14
UPF1,1129,84,10,10,10,Q92900,9,Regulator of nonsense transcripts 1 OS=Homo sapiens GN=UPF1 PE=1 SV=2,UPF1,124.3,1888,6.61
DHX36,1008,62,6,6,6,Q9H2U1,7,ATP-dependent RNA helicase DHX36 OS=Homo sapiens GN=DHX36 PE=1 SV=2,DHX36,114.7,1868,7.68
MSL3,521,103,4,4,4,Q8N5Y2,8,Male-specific lethal 3 homolog OS=Homo sapiens GN=MSL3 PE=1 SV=1,MSL3,59.8,1854,8.21
MPHOSPH8,860,69,9,9,9,Q99549,18,M-phase phosphoprotein 8 OS=Homo sapiens GN=MPHOSPH8 PE=1 SV=2,MPHOSPH8,97.1,1853,6.06
ZNF384,577,64,6,6,6,Q8TF68,17,Zinc finger protein 384 OS=Homo sapiens GN=ZNF384 PE=1 SV=2,ZNF384,63.2,1839,8.95
EXOSC3,275,53,3,3,3,Q9NQT5,15,Exosome complex component RRP40 OS=Homo sapiens GN=EXOSC3 PE=1 SV=3,EXOSC3,29.6,1838,8.1
HOXA11,313,58,3,3,3,P31270,17,Homeobox protein Hox-A11 OS=Homo sapiens GN=HOXA11 PE=2 SV=2,HOXA11,34.5,1827,8.7
GBAS,286,104,6,6,6,O75323,26,Protein NipSnap homolog 2 OS=Homo sapiens GN=GBAS PE=1 SV=1,GBAS,33.7,1827,9.36
OXA1L,435,78,3,3,3,Q15070,6,Mitochondrial inner membrane protein OXA1L OS=Homo sapiens GN=OXA1L PE=1 SV=3,OXA1L,48.5,1823,9.45
TUBG1,451,78,15,15,15,P23258,61,Tubulin gamma-1 chain OS=Homo sapiens GN=TUBG1 PE=1 SV=2,TUBG1,51.1,1819,6.14
RBM12B,1001,79,8,8,8,Q8IXT5,9,RNA-binding protein 12B OS=Homo sapiens GN=RBM12B PE=1 SV=2,RBM12B,118.0,1816,6.81
EXOSC10,885,81,11,11,11,Q01780,15,Exosome component 10 OS=Homo sapiens GN=EXOSC10 PE=1 SV=2,EXOSC10,100.8,1800,8.46
