Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot,unmodH3_unmodH5_200bp_scr_repl1,unmodH3_unmodH5_200bp_scr_repl2,unmodH3_unmodH5_200bp_scr_repl3,unmodH3_unmodH6_200bp_SV40prom_repl1,unmodH3_unmodH6_200bp_SV40prom_repl2,unmodH3_unmodH6_200bp_SV40prom_repl3
KRT80,452,39,6,6,5,Q6KB66,13,"Keratin, type II cytoskeletal 80 OS=Homo sapiens OX=9606 GN=KRT80 PE=1 SV=2",KRT80,50.5,1378,13605693.3333333,11167953.3333333,10160489.0,8143238.0,9756183.0,7856255.83333333
RP9,221,67,7,7,7,Q8TA86,32,Retinitis pigmentosa 9 protein OS=Homo sapiens OX=9606 GN=RP9 PE=1 SV=2,RP9,26.1,1377,41054322.5,48563129.6666667,36015144.9166667,8061323.66666667,12465248.6666667,26857703.3333333
RPS20,119,56,4,4,4,P60866,26,40S ribosomal protein S20 OS=Homo sapiens OX=9606 GN=RPS20 PE=1 SV=1,RPS20,13.4,1375,133291957.333333,135064150.0,118151867.666667,72962599.3333333,75203142.3333333,93069802.3333333
GAPDH,335,27,3,3,3,P04406,10,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,GAPDH,36.0,1374,8106153.16666667,10069898.75,4429417.83333333,2964465.41666667,5519351.66666667,3693889.625
CDKN2A,132,72,7,7,7,Q8N726,49,Tumor suppressor ARF OS=Homo sapiens OX=9606 GN=CDKN2A PE=1 SV=2,CDKN2A,13.9,1370,47798621.8333333,61237137.0,42859963.5,34977361.3333333,43278357.5,41398764.0
GNAQ,359,60,8,8,3,P50148,28,Guanine nucleotide-binding protein G(q) subunit alpha OS=Homo sapiens OX=9606 GN=GNAQ PE=1 SV=4,GNAQ,42.1,1358,3098935.33333333,4600259.54166667,4188564.875,2895976.70833333,2423655.5,3622091.10416667
PHF5A,110,37,6,6,6,Q7RTV0,55,PHD finger-like domain-containing protein 5A OS=Homo sapiens OX=9606 GN=PHF5A PE=1 SV=1,PHF5A,12.4,1357,349216093.333333,467817016.0,315580437.333333,495132260.666667,631278489.333333,517741934.0
KDM5A,1690,55,15,15,15,P29375,11,Lysine-specific demethylase 5A OS=Homo sapiens OX=9606 GN=KDM5A PE=1 SV=3,KDM5A,192.0,1345,1527825.33333333,2449597.83333333,673399.791666667,2971632.66666667,1910592.66666667,4457730.16666667
TBC1D24,559,58,10,10,10,Q9ULP9,25,TBC1 domain family member 24 OS=Homo sapiens OX=9606 GN=TBC1D24 PE=1 SV=2,TBC1D24,62.9,1337,567557051.333333,435361964.0,374767977.0,306082964.333333,296983548.0,396185727.333333
CEBPD,269,70,6,6,6,P49716,31,CCAAT/enhancer-binding protein delta OS=Homo sapiens OX=9606 GN=CEBPD PE=1 SV=2,CEBPD,28.4,1337,87344476.0,108341690.0,54999042.6666667,65595470.6666667,73175574.0,66061815.3333333
PHC3,983,71,11,11,9,Q8NDX5,15,Polyhomeotic-like protein 3 OS=Homo sapiens OX=9606 GN=PHC3 PE=1 SV=1,PHC3,106.1,1334,6458150.33333333,23050131.0,4939934.16666667,3751218.83333333,3726092.5,5015029.16666667
DIMT1,313,67,11,11,11,Q9UNQ2,47,Probable dimethyladenosine transferase OS=Homo sapiens OX=9606 GN=DIMT1 PE=1 SV=1,DIMT1,35.2,1326,36923995.3333333,53169182.3333333,25329173.1666667,32587966.3333333,21896183.0,23178064.4166667
FMNL3,1028,52,7,7,2,Q8IVF7,7,Formin-like protein 3 OS=Homo sapiens OX=9606 GN=FMNL3 PE=1 SV=3,FMNL3,117.1,1326,,,1894049.0,4952242.75,3305793.75,
QSER1,1735,66,13,13,13,Q2KHR3,10,Glutamine and serine-rich protein 1 OS=Homo sapiens OX=9606 GN=QSER1 PE=1 SV=3,QSER1,189.9,1321,11086880.8333333,21240617.0,16081586.5416667,9440071.83333333,8541468.0,8752208.16666667
CHMP4B,224,40,7,7,7,Q9H444,28,Charged multivesicular body protein 4b OS=Homo sapiens OX=9606 GN=CHMP4B PE=1 SV=1,CHMP4B,24.9,1319,29667648.0,35721598.6666667,27228072.6666667,24554246.6666667,26919392.6666667,23575051.0
CXADR,365,48,7,7,7,P78310,31,Coxsackievirus and adenovirus receptor OS=Homo sapiens OX=9606 GN=CXADR PE=1 SV=1,CXADR,40.0,1308,7196492.66666667,6253980.66666667,11346535.6666667,6248129.66666667,7272160.0,6110765.25
CLASRP,674,57,7,7,7,Q8N2M8,14,CLK4-associating serine/arginine rich protein OS=Homo sapiens OX=9606 GN=CLASRP PE=1 SV=4,CLASRP,77.1,1305,26284676.5833333,24874718.0,12972167.4166667,12096415.6666667,12983979.0,10825982.7916667
ZFP91,570,83,14,14,14,Q96JP5,28,E3 ubiquitin-protein ligase ZFP91 OS=Homo sapiens OX=9606 GN=ZFP91 PE=1 SV=1,ZFP91,63.4,1303,17705222.3333333,23608127.3333333,16321225.0,20246019.0,21384111.6666667,23528045.3333333
INO80C,192,42,6,6,6,Q6PI98,40,INO80 complex subunit C OS=Homo sapiens OX=9606 GN=INO80C PE=1 SV=1,INO80C,20.6,1282,8551884.75,9140031.33333333,5671951.0,4186370.375,2756434.33333333,4851600.66666667
ARL6IP4,237,54,5,5,5,Q66PJ3,27,ADP-ribosylation factor-like protein 6-interacting protein 4 OS=Homo sapiens OX=9606 GN=ARL6IP4 PE=1 SV=3,ARL6IP4,26.4,1277,40251422.6666667,47857202.6666667,30544716.6666667,19739083.3333333,26628424.0,25596206.0
DNTTIP1,329,43,8,8,8,Q9H147,28,Deoxynucleotidyltransferase terminal-interacting protein 1 OS=Homo sapiens OX=9606 GN=DNTTIP1 PE=1 SV=2,DNTTIP1,37.0,1271,6641365.33333333,3345052.0,2451780.83333333,16073563.7916667,14736165.6666667,14764166.75
SRPK2,688,64,8,8,5,P78362,16,SRSF protein kinase 2 OS=Homo sapiens OX=9606 GN=SRPK2 PE=1 SV=3,SRPK2,77.5,1267,10271870.1666667,12432540.0,10345530.5,4954635.5,7837371.33333333,7111756.83333333
SNRPA,282,70,8,8,6,P09012,33,U1 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA PE=1 SV=3,SNRPA,31.3,1266,67885458.6666667,52789770.6666667,59450096.0,28854724.0,54809572.0,31195220.0
RALY,306,70,10,10,10,Q9UKM9,40,RNA-binding protein Raly OS=Homo sapiens OX=9606 GN=RALY PE=1 SV=1,RALY,32.4,1266,33196656.0,37796225.3333333,28547422.0,18248486.0,17305084.6666667,18135851.0
FIP1L1,594,49,8,8,8,Q6UN15,23,Pre-mRNA 3'-end-processing factor FIP1 OS=Homo sapiens OX=9606 GN=FIP1L1 PE=1 SV=1,FIP1L1,66.5,1255,14800382.6666667,12364320.6666667,14213168.6666667,74101835.6666667,22689952.1666667,7003173.83333333
EXOSC2,293,55,7,7,7,Q13868,29,Exosome complex component RRP4 OS=Homo sapiens OX=9606 GN=EXOSC2 PE=1 SV=2,EXOSC2,32.8,1243,6485937.66666667,7152247.33333333,5331290.83333333,9824454.5,3527573.66666667,4656402.33333333
ATF2,505,66,11,11,8,P15336,30,Cyclic AMP-dependent transcription factor ATF-2 OS=Homo sapiens OX=9606 GN=ATF2 PE=1 SV=4,ATF2,54.5,1240,33451760.0,46330206.6666667,21176980.6666667,12481992.3333333,16825059.3333333,11841452.0
RALB,206,47,6,6,3,P11234,36,Ras-related protein Ral-B OS=Homo sapiens OX=9606 GN=RALB PE=1 SV=1,RALB,23.4,1237,9333572.33333333,9528222.58333333,4601255.66666667,8923169.16666667,5080528.20833333,4653859.5
TICRR,1910,59,18,18,18,Q7Z2Z1,13,Treslin OS=Homo sapiens OX=9606 GN=TICRR PE=1 SV=2,TICRR,210.7,1232,9208210.33333333,8446176.0,7267494.5,2503841.5,3849483.83333333,8135603.66666667
PLS1,629,51,8,8,5,Q14651,13,Plastin-1 OS=Homo sapiens OX=9606 GN=PLS1 PE=1 SV=2,PLS1,70.2,1230,14452150.6666667,13936521.0,8667269.66666667,8223580.0,8207129.66666667,11464070.9166667
DHX37,1157,73,16,16,16,Q8IY37,17,Probable ATP-dependent RNA helicase DHX37 OS=Homo sapiens OX=9606 GN=DHX37 PE=1 SV=1,DHX37,129.5,1227,3586907.66666667,9727120.0,5008096.33333333,7620694.5,5460548.83333333,4807999.33333333
RPS7,194,76,8,8,8,P62081,41,40S ribosomal protein S7 OS=Homo sapiens OX=9606 GN=RPS7 PE=1 SV=1,RPS7,22.1,1223,237473197.333333,255733269.333333,212886085.333333,162573824.0,189341629.333333,189133776.0
PLRG1,514,49,11,11,11,O43660,36,Pleiotropic regulator 1 OS=Homo sapiens OX=9606 GN=PLRG1 PE=1 SV=1,PLRG1,57.2,1222,7638666.66666667,16889099.6666667,8580680.33333333,7678721.83333333,2004842.33333333,4629500.91666667
TIMM50,353,57,6,6,6,Q3ZCQ8,22,Mitochondrial import inner membrane translocase subunit TIM50 OS=Homo sapiens OX=9606 GN=TIMM50 PE=1 SV=2,TIMM50,39.6,1222,11772260.1666667,11960100.0833333,7474142.04166667,8140115.33333333,6481709.41666667,5044247.08333333
UPF1,1129,52,12,12,12,Q92900,12,Regulator of nonsense transcripts 1 OS=Homo sapiens OX=9606 GN=UPF1 PE=1 SV=2,UPF1,124.3,1218,5524002.5,14158083.3333333,4710171.5,6511086.83333333,8261622.83333333,3650495.33333333
RSRC1,334,46,5,5,5,Q96IZ7,19,Serine/Arginine-related protein 53 OS=Homo sapiens OX=9606 GN=RSRC1 PE=1 SV=1,RSRC1,38.7,1217,32046649.3333333,36049755.3333333,19577513.6666667,15090281.6666667,19028200.3333333,16399253.0
SP1,785,49,5,5,5,P08047,11,Transcription factor Sp1 OS=Homo sapiens OX=9606 GN=SP1 PE=1 SV=3,SP1,80.6,1214,7895087.5,9655326.83333333,5490906.83333333,47331105.8333333,57984766.6666667,55182016.6666667
NOP14,857,68,9,9,9,P78316,11,Nucleolar protein 14 OS=Homo sapiens OX=9606 GN=NOP14 PE=1 SV=3,NOP14,97.6,1212,1462426689.33333,1173009313.33333,1289022581.66667,108844514.0,411038806.5,2025161561.33333
PCID2,399,75,15,15,15,Q5JVF3,41,PCI domain-containing protein 2 OS=Homo sapiens OX=9606 GN=PCID2 PE=1 SV=2,PCID2,46.0,1212,111660567.333333,120118713.666667,76716637.5833333,76409411.1666667,61682435.6666667,83848412.6666667
SNW1,536,57,14,14,14,Q13573,30,SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1,SNW1,61.5,1212,34396570.3333333,39095847.3333333,31439098.3333333,18987920.5,23415550.1666667,20732978.3333333
TREX1,314,48,8,8,8,Q9NSU2,34,Three-prime repair exonuclease 1 OS=Homo sapiens OX=9606 GN=TREX1 PE=1 SV=2,TREX1,33.2,1200,47236957.3333333,53000618.6666667,29027142.0,22959815.3333333,23419142.0,40860848.6666667
ARPC3,178,60,6,6,6,O15145,29,Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens OX=9606 GN=ARPC3 PE=1 SV=3,ARPC3,20.5,1195,30395093.3333333,37462013.3333333,25625394.0,27570094.0,20342861.0,23309776.6666667
KDM1B,822,53,13,13,13,Q8NB78,20,Lysine-specific histone demethylase 1B OS=Homo sapiens OX=9606 GN=KDM1B PE=1 SV=3,KDM1B,92.0,1194,12143834.6666667,9753710.0,14422904.0,,,9598491.33333333
SRP68,627,36,7,7,7,Q9UHB9,18,Signal recognition particle subunit SRP68 OS=Homo sapiens OX=9606 GN=SRP68 PE=1 SV=2,SRP68,70.7,1191,107329626.333333,151983681.666667,89781359.3333333,88064238.1666667,83389553.0,91438872.3333333
MTDH,582,32,4,4,4,Q86UE4,9,Protein LYRIC OS=Homo sapiens OX=9606 GN=MTDH PE=1 SV=2,MTDH,63.8,1188,8695492.33333333,9441605.66666667,7411669.5,6502183.0,7052039.5,4927295.0
PKP3,797,59,14,14,14,Q9Y446,22,Plakophilin-3 OS=Homo sapiens OX=9606 GN=PKP3 PE=1 SV=1,PKP3,87.0,1180,16241559.6666667,21122041.6666667,15070175.3333333,13337136.6666667,13022297.0,12969096.0
YY1,414,51,11,11,11,P25490,34,Transcriptional repressor protein YY1 OS=Homo sapiens OX=9606 GN=YY1 PE=1 SV=2,YY1,44.7,1176,2816955.66666667,5938720.33333333,4856412.83333333,3022131.75,4999077.83333333,4901508.16666667
MRTO4,239,50,9,9,9,Q9UKD2,33,mRNA turnover protein 4 homolog OS=Homo sapiens OX=9606 GN=MRTO4 PE=1 SV=2,MRTO4,27.5,1176,32848896.0,34460585.3333333,23840179.3333333,23726213.3333333,21757018.3333333,22033534.0
ING3,418,25,6,6,6,Q9NXR8,24,Inhibitor of growth protein 3 OS=Homo sapiens OX=9606 GN=ING3 PE=1 SV=2,ING3,46.7,1175,,2043428.66666667,,,,
UTP3,479,51,7,7,7,Q9NQZ2,20,Something about silencing protein 10 OS=Homo sapiens OX=9606 GN=UTP3 PE=1 SV=1,UTP3,54.5,1175,9142533.66666667,12308031.3333333,8472044.66666667,8985280.66666667,7040000.33333333,10567400.0
HMG20A,347,52,9,9,9,Q9NP66,29,High mobility group protein 20A OS=Homo sapiens OX=9606 GN=HMG20A PE=1 SV=1,HMG20A,40.1,1166,26328425.9166667,31084854.0,25363077.3333333,30878642.5,28640820.8333333,36235152.6666667
KDM4A,1064,59,17,17,16,O75164,20,Lysine-specific demethylase 4A OS=Homo sapiens OX=9606 GN=KDM4A PE=1 SV=2,KDM4A,120.6,1153,737877.583333333,,201281.458333333,,,408296.541666667
TFPT,253,48,6,6,6,P0C1Z6,25,TCF3 fusion partner OS=Homo sapiens OX=9606 GN=TFPT PE=1 SV=1,TFPT,28.3,1151,81382656.0,100018986.666667,90850378.6666667,42587080.0,60954954.6666667,53913114.6666667
USP39,565,58,10,10,10,Q53GS9,21,U4/U6.U5 tri-snRNP-associated protein 2 OS=Homo sapiens OX=9606 GN=USP39 PE=1 SV=2,USP39,65.3,1149,7180825.16666667,14363312.5,9977577.83333333,3255752.41666667,2765319.0,4859043.83333333
EXOSC9,439,39,5,5,5,Q06265,13,Exosome complex component RRP45 OS=Homo sapiens OX=9606 GN=EXOSC9 PE=1 SV=3,EXOSC9,48.9,1148,10354113.25,11704733.1666667,9258118.33333333,7369029.66666667,7973812.66666667,7915140.33333333
RPS23,143,57,3,3,3,P62266,23,40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3,RPS23,15.8,1147,97025024.0,122880666.666667,83550221.3333333,81561080.0,85699654.0,69872609.3333333
PRPF3,683,48,8,8,8,O43395,14,U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens OX=9606 GN=PRPF3 PE=1 SV=2,PRPF3,77.5,1145,5938063.33333333,4128227.33333333,13427642.3333333,3146732.5,6530265.0,3718871.16666667
MLLT3,568,46,9,9,9,P42568,27,Protein AF-9 OS=Homo sapiens OX=9606 GN=MLLT3 PE=1 SV=2,MLLT3,63.3,1142,,,,,383980.791666667,
WIZ,1651,50,11,11,11,O95785,8,Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=2,WIZ,178.6,1141,27255608.0,29447820.0,24429995.3333333,18597206.5,22064416.6666667,22418641.3333333
ZNF512,567,46,10,10,10,Q96ME7,24,Zinc finger protein 512 OS=Homo sapiens OX=9606 GN=ZNF512 PE=1 SV=2,ZNF512,64.6,1140,10652942.6666667,15241792.0,10742908.0,11764475.0,8831030.75,9503498.66666667
MIDEAS,1045,66,22,22,22,Q6PJG2,28,Mitotic deacetylase-associated SANT domain protein OS=Homo sapiens OX=9606 GN=MIDEAS PE=1 SV=2,MIDEAS,114.9,1133,5176075.16666667,5245859.33333333,8913868.5,12571845.3333333,10176066.4166667,22527242.3333333
RTCB,505,55,9,9,9,Q9Y3I0,19,RNA-splicing ligase RtcB homolog OS=Homo sapiens OX=9606 GN=RTCB PE=1 SV=1,RTCB,55.2,1130,19268717.6666667,21946813.6666667,17508581.5,9124434.0,10246580.6666667,16813483.3333333
TRIM27,513,47,12,12,12,P14373,31,Zinc finger protein RFP OS=Homo sapiens OX=9606 GN=TRIM27 PE=1 SV=1,TRIM27,58.5,1125,20345640.6666667,21682759.0,15106208.6666667,10315508.3333333,3155087.0,9537899.0
ITPR2,2701,83,10,10,2,Q14571,3,"Inositol 1,4,5-trisphosphate receptor type 2 OS=Homo sapiens OX=9606 GN=ITPR2 PE=1 SV=2",ITPR2,307.9,1124,197920540.875,238488002.0,201440558.25,142911453.5,209852452.0,206068084.25
SAMM50,469,51,12,12,12,Q9Y512,33,Sorting and assembly machinery component 50 homolog OS=Homo sapiens OX=9606 GN=SAMM50 PE=1 SV=3,SAMM50,51.9,1123,15161730.3333333,21627842.6666667,17265275.0,14010893.375,22315770.8333333,14644753.1666667
EED,441,56,10,10,10,O75530,25,Polycomb protein EED OS=Homo sapiens OX=9606 GN=EED PE=1 SV=2,EED,50.2,1121,25959108.0,29086734.0,17281223.3333333,16712470.3333333,10553011.9166667,14184924.0
RPS12,132,70,5,5,5,P25398,39,40S ribosomal protein S12 OS=Homo sapiens OX=9606 GN=RPS12 PE=1 SV=3,RPS12,14.5,1116,84802276.0,144225069.333333,66888666.0,51882782.3333333,62668893.0,70743882.6666667
ABCF2,623,70,11,11,11,Q9UG63,20,ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2,ABCF2,71.2,1110,27115411.4166667,27957817.0,16297140.1666667,16976020.4166667,14156335.5,20714127.9166667
GNG5,68,54,4,4,4,P63218,72,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 OS=Homo sapiens OX=9606 GN=GNG5 PE=1 SV=3,GNG5,7.3,1107,133778373.333333,167869338.666667,137927416.0,106818370.666667,148721264.0,141435885.333333
FAM98A,518,24,3,3,3,Q8NCA5,7,Protein FAM98A OS=Homo sapiens OX=9606 GN=FAM98A PE=1 SV=2,FAM98A,55.2,1101,7607629.5,4928881.0,2922703.0,6736177.0,3366998.625,4024262.625
POLR1G,510,56,11,11,11,O15446,40,DNA-directed RNA polymerase I subunit RPA34 OS=Homo sapiens OX=9606 GN=POLR1G PE=1 SV=1,POLR1G,55.0,1094,15029117.0,18021128.6666667,8859480.66666667,14117706.0,13734948.3333333,10495844.6666667
SLC7A5,507,54,4,4,4,Q01650,10,Large neutral amino acids transporter small subunit 1 OS=Homo sapiens OX=9606 GN=SLC7A5 PE=1 SV=2,SLC7A5,55.0,1094,59352069.3333333,60845301.3333333,46277432.0,43903716.6666667,45918722.6666667,44291610.0
ITSN2,1697,59,14,14,14,Q9NZM3,9,Intersectin-2 OS=Homo sapiens OX=9606 GN=ITSN2 PE=1 SV=3,ITSN2,193.3,1086,3085247.66666667,9038987.66666667,5732496.16666667,5624599.16666667,3024054.33333333,4447751.25
NAA40,237,44,8,8,8,Q86UY6,38,N-alpha-acetyltransferase 40 OS=Homo sapiens OX=9606 GN=NAA40 PE=1 SV=1,NAA40,27.2,1085,31157991.3333333,28127010.6666667,15803082.6666667,17137882.6666667,18758295.3333333,24291624.0
ATAD3A,634,72,12,12,12,Q9NVI7,17,ATPase family AAA domain-containing protein 3A OS=Homo sapiens OX=9606 GN=ATAD3A PE=1 SV=2,ATAD3A,71.3,1084,20159375.3333333,22842042.0,17499063.6666667,16334175.0,19644435.6666667,17345161.6666667
HMGXB4,601,52,6,6,6,Q9UGU5,16,HMG domain-containing protein 4 OS=Homo sapiens OX=9606 GN=HMGXB4 PE=1 SV=2,HMGXB4,65.7,1081,,1032341.75,,1240946.79166667,673480.75,1104241.375
NUP153,1475,62,11,11,11,P49790,9,Nuclear pore complex protein Nup153 OS=Homo sapiens OX=9606 GN=NUP153 PE=1 SV=2,NUP153,153.8,1080,8648560.0,11501342.8333333,7011765.66666667,5701716.91666667,6303552.66666667,7770466.33333333
NAIF1,327,38,6,6,6,Q69YI7,27,Nuclear apoptosis-inducing factor 1 OS=Homo sapiens OX=9606 GN=NAIF1 PE=1 SV=1,NAIF1,35.1,1079,12344541.6666667,14092431.0,9124180.66666667,8366252.83333333,10036932.0,9820748.16666667
SNRPC,159,40,3,3,3,P09234,25,U1 small nuclear ribonucleoprotein C OS=Homo sapiens OX=9606 GN=SNRPC PE=1 SV=1,SNRPC,17.4,1072,30036025.3333333,47835294.6666667,19218880.0,14886880.3333333,16207947.9166667,15803199.3333333
NKTR,1462,42,12,12,12,P30414,10,NK-tumor recognition protein OS=Homo sapiens OX=9606 GN=NKTR PE=1 SV=2,NKTR,165.6,1068,9970778.33333333,8493693.0,8193240.16666667,1106464.58333333,2300006.0,501657.083333333
POP1,1024,51,9,9,8,Q99575,12,Ribonucleases P/MRP protein subunit POP1 OS=Homo sapiens OX=9606 GN=POP1 PE=1 SV=2,POP1,114.6,1068,6089192.25,8274400.66666667,5521844.33333333,5658663.33333333,2977344.41666667,1634960.5
CLK3,638,43,8,8,8,P49761,14,Dual specificity protein kinase CLK3 OS=Homo sapiens OX=9606 GN=CLK3 PE=1 SV=3,CLK3,73.5,1065,52893425.0,40233184.0,27942747.0,13023459.3333333,20222560.3333333,29528808.0
PDCD6,191,51,4,4,4,O75340,18,Programmed cell death protein 6 OS=Homo sapiens OX=9606 GN=PDCD6 PE=1 SV=1,PDCD6,21.9,1064,14095429.0,12579737.0,10484151.8333333,3796356.41666667,6023404.83333333,11696557.3333333
BAG2,211,49,8,8,8,O95816,46,BAG family molecular chaperone regulator 2 OS=Homo sapiens OX=9606 GN=BAG2 PE=1 SV=1,BAG2,23.8,1063,70098218.0,79399317.3333333,63969983.3333333,60276933.6666667,44101973.6666667,54382676.6666667
NUDT21,227,41,6,6,6,O43809,28,Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 SV=1,NUDT21,26.2,1062,23511124.0,18800101.3333333,11993617.8333333,11926090.3333333,15558433.0,27320117.6666667
BSG,385,31,4,4,4,P35613,15,Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2,BSG,42.2,1062,35774624.6666667,36440783.5,26251124.6666667,27395846.6666667,21439052.0,42067580.0
ATP2A2,1042,38,8,8,8,P16615,11,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,ATP2A2,114.7,1060,8982321.66666667,12867973.3333333,7779869.0,7934501.66666667,6213218.83333333,8212279.5
DYNLL2,89,70,5,5,2,Q96FJ2,58,"Dynein light chain 2, cytoplasmic OS=Homo sapiens OX=9606 GN=DYNLL2 PE=1 SV=1",DYNLL2,10.3,1058,12342234.25,13970673.5,9727716.25,6677287.75,6797760.5,8689142.5
RPL36A,106,49,4,4,4,P83881,25,60S ribosomal protein L36a OS=Homo sapiens OX=9606 GN=RPL36A PE=1 SV=2,RPL36A,12.4,1056,166169253.333333,222556490.666667,187117552.0,235981162.666667,289981253.333333,227538874.666667
P4HB,508,50,9,9,9,P07237,18,Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3,P4HB,57.1,1053,3356382.08333333,2306526.66666667,3268369.25,1796151.83333333,1967885.60416667,3804400.0
CDK12,1490,50,6,6,4,Q9NYV4,6,Cyclin-dependent kinase 12 OS=Homo sapiens OX=9606 GN=CDK12 PE=1 SV=2,CDK12,164.1,1047,6939056.16666667,8128051.66666667,6196250.5,7285418.5,4375421.75,6450514.0
UHRF1,793,40,13,13,13,Q96T88,23,E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens OX=9606 GN=UHRF1 PE=1 SV=1,UHRF1,89.8,1034,10117280.0,6516328.33333333,1851432.66666667,16852982.0,23245523.3333333,16961297.6666667
PKP1,747,19,4,4,4,Q13835,5,Plakophilin-1 OS=Homo sapiens OX=9606 GN=PKP1 PE=1 SV=2,PKP1,82.8,1033,9603334.66666667,7875035.66666667,9490310.33333333,6731427.0,5447564.0,5965797.0
IQGAP1,1657,50,14,14,14,P46940,12,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1,IQGAP1,189.1,1029,8318544.66666667,7855987.16666667,7376950.83333333,4983110.41666667,5090798.33333333,7842361.5
DHX36,1008,39,9,9,9,Q9H2U1,12,ATP-dependent DNA/RNA helicase DHX36 OS=Homo sapiens OX=9606 GN=DHX36 PE=1 SV=2,DHX36,114.7,1028,64175490.375,50243848.3333333,39771136.0,47155941.0,36728257.6666667,36224570.6666667
KIF18A,898,44,9,9,6,Q8NI77,11,Kinesin-like protein KIF18A OS=Homo sapiens OX=9606 GN=KIF18A PE=1 SV=2,KIF18A,102.2,1023,2505082.33333333,7056462.5,2913651.375,2620575.66666667,4445430.25,437351.375
CDC42,191,48,5,5,4,P60953,30,Cell division control protein 42 homolog OS=Homo sapiens OX=9606 GN=CDC42 PE=1 SV=2,CDC42,21.2,1021,17221778.0833333,28164886.4375,14136623.0,12764923.0,4119266.79166667,16585062.3333333
RBM15B,890,60,7,7,6,Q8NDT2,8,Putative RNA-binding protein 15B OS=Homo sapiens OX=9606 GN=RBM15B PE=1 SV=3,RBM15B,97.1,1018,12461628.8333333,8354147.0,12863006.0,7163417.83333333,6008216.41666667,6186006.33333333
RPL29,159,33,2,2,2,P47914,14,60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=2,RPL29,17.7,1014,128946178.0,186988980.0,163730346.0,148044472.0,163016312.0,137804280.0
RBM12B,1001,51,13,13,13,Q8IXT5,15,RNA-binding protein 12B OS=Homo sapiens OX=9606 GN=RBM12B PE=1 SV=2,RBM12B,118.0,1014,7918905.5,10785027.3333333,6142149.0,4732897.83333333,4341149.16666667,5495179.0
LRPPRC,1394,38,10,10,10,P42704,8,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",LRPPRC,157.8,1006,19252673.1666667,23934772.5,15139989.5,19830880.0625,13957293.3333333,16910799.1666667
ZC3H14,736,51,11,11,11,Q6PJT7,20,Zinc finger CCCH domain-containing protein 14 OS=Homo sapiens OX=9606 GN=ZC3H14 PE=1 SV=1,ZC3H14,82.8,1004,7171204.66666667,8517629.0,7199516.75,385238.25,3337282.58333333,1297195.91666667
BARX1,254,33,5,5,5,Q9HBU1,28,Homeobox protein BarH-like 1 OS=Homo sapiens OX=9606 GN=BARX1 PE=1 SV=2,BARX1,27.3,1003,22912014.6666667,22040064.3333333,16940992.0,14544462.4166667,15191125.8333333,14790729.0
DDX10,875,73,13,13,13,Q13206,17,Probable ATP-dependent RNA helicase DDX10 OS=Homo sapiens OX=9606 GN=DDX10 PE=1 SV=2,DDX10,100.8,999,23956594.6666667,30419424.3333333,21462163.6666667,21121715.0,20442714.3333333,18280045.6666667
PLCD3,789,47,12,12,12,Q8N3E9,24,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 OS=Homo sapiens OX=9606 GN=PLCD3 PE=1 SV=3",PLCD3,89.2,997,39476350.0,30495356.3333333,48047489.6666667,27297870.1666667,28597665.3333333,47985970.3333333
RPL35,123,41,3,3,3,P42766,21,60S ribosomal protein L35 OS=Homo sapiens OX=9606 GN=RPL35 PE=1 SV=2,RPL35,14.5,996,261043941.0,315149701.666667,269176017.166667,284852224.0,251495572.0,252631087.25
FMNL1,1100,54,12,12,8,O95466,12,Formin-like protein 1 OS=Homo sapiens OX=9606 GN=FMNL1 PE=1 SV=3,FMNL1,121.8,991,8296839.83333333,9354281.83333333,7313756.0,7365035.29166667,6455994.5,6126741.5
