Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot
ABCF2,623,153,13,13,13,Q9UG63,24,ATP-binding cassette sub-family F member 2 OS=Homo sapiens OX=9606 GN=ABCF2 PE=1 SV=2,ABCF2,71.2,2559
TBL1XR1,514,95,10,10,10,Q9BZK7,23,F-box-like/WD repeat-containing protein TBL1XR1 OS=Homo sapiens OX=9606 GN=TBL1XR1 PE=1 SV=1,TBL1XR1,55.6,2555
ITPR2,2701,162,12,12,3,Q14571,4,"Inositol 1,4,5-trisphosphate receptor type 2 OS=Homo sapiens OX=9606 GN=ITPR2 PE=1 SV=2",ITPR2,307.9,2547
CLTA,248,102,6,6,6,P09496,19,Clathrin light chain A OS=Homo sapiens OX=9606 GN=CLTA PE=1 SV=1,CLTA,27.1,2544
TRIM27,513,121,16,16,16,P14373,39,Zinc finger protein RFP OS=Homo sapiens OX=9606 GN=TRIM27 PE=1 SV=1,TRIM27,58.5,2531
CXADR,365,95,7,7,7,P78310,31,Coxsackievirus and adenovirus receptor OS=Homo sapiens OX=9606 GN=CXADR PE=1 SV=1,CXADR,40.0,2522
ACTL6A,429,95,12,12,12,O96019,41,Actin-like protein 6A OS=Homo sapiens OX=9606 GN=ACTL6A PE=1 SV=1,ACTL6A,47.4,2508
GAPDH,335,59,8,8,8,P04406,33,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,GAPDH,36.0,2506
GOLGA8M,632,120,9,9,2,H3BSY2,16,Golgin subfamily A member 8M OS=Homo sapiens OX=9606 GN=GOLGA8M PE=3 SV=1,GOLGA8M,71.5,2494
RPS12,132,155,5,5,5,P25398,39,40S ribosomal protein S12 OS=Homo sapiens OX=9606 GN=RPS12 PE=1 SV=3,RPS12,14.5,2487
RPL36A,106,110,4,4,4,P83881,25,60S ribosomal protein L36a OS=Homo sapiens OX=9606 GN=RPL36A PE=1 SV=2,RPL36A,12.4,2487
HDAC2,488,117,12,12,7,Q92769,33,Histone deacetylase 2 OS=Homo sapiens OX=9606 GN=HDAC2 PE=1 SV=2,HDAC2,55.3,2482
GNAQ,359,124,10,10,5,P50148,34,Guanine nucleotide-binding protein G(q) subunit alpha OS=Homo sapiens OX=9606 GN=GNAQ PE=1 SV=4,GNAQ,42.1,2473
NUP153,1475,151,14,14,14,P49790,12,Nuclear pore complex protein Nup153 OS=Homo sapiens OX=9606 GN=NUP153 PE=1 SV=2,NUP153,153.8,2472
NOL9,702,135,13,13,13,Q5SY16,24,Polynucleotide 5'-hydroxyl-kinase NOL9 OS=Homo sapiens OX=9606 GN=NOL9 PE=1 SV=1,NOL9,79.3,2471
PINX1,328,130,8,8,8,Q96BK5,37,PIN2/TERF1-interacting telomerase inhibitor 1 OS=Homo sapiens OX=9606 GN=PINX1 PE=1 SV=2,PINX1,37.0,2466
CSNK1G2,415,115,10,10,2,P78368,29,Casein kinase I isoform gamma-2 OS=Homo sapiens OX=9606 GN=CSNK1G2 PE=1 SV=1,CSNK1G2,47.4,2465
SRPK2,688,119,9,9,7,P78362,18,SRSF protein kinase 2 OS=Homo sapiens OX=9606 GN=SRPK2 PE=1 SV=3,SRPK2,77.5,2465
UPF1,1129,112,17,17,17,Q92900,16,Regulator of nonsense transcripts 1 OS=Homo sapiens OX=9606 GN=UPF1 PE=1 SV=2,UPF1,124.3,2455
PLRG1,514,95,11,11,11,O43660,37,Pleiotropic regulator 1 OS=Homo sapiens OX=9606 GN=PLRG1 PE=1 SV=1,PLRG1,57.2,2442
SNRPC,159,89,3,3,3,P09234,25,U1 small nuclear ribonucleoprotein C OS=Homo sapiens OX=9606 GN=SNRPC PE=1 SV=1,SNRPC,17.4,2438
NOP14,857,132,11,11,11,P78316,15,Nucleolar protein 14 OS=Homo sapiens OX=9606 GN=NOP14 PE=1 SV=3,NOP14,97.6,2435
POP1,1024,135,15,15,14,Q99575,21,Ribonucleases P/MRP protein subunit POP1 OS=Homo sapiens OX=9606 GN=POP1 PE=1 SV=2,POP1,114.6,2432
BRCA1,1863,147,21,21,21,P38398,14,Breast cancer type 1 susceptibility protein OS=Homo sapiens OX=9606 GN=BRCA1 PE=1 SV=2,BRCA1,207.6,2428
DHX36,1008,99,17,17,17,Q9H2U1,23,ATP-dependent DNA/RNA helicase DHX36 OS=Homo sapiens OX=9606 GN=DHX36 PE=1 SV=2,DHX36,114.7,2415
BSG,385,79,6,6,6,P35613,28,Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2,BSG,42.2,2413
ZNF148,794,92,15,15,15,Q9UQR1,27,Zinc finger protein 148 OS=Homo sapiens OX=9606 GN=ZNF148 PE=1 SV=2,ZNF148,88.9,2412
SRP9,86,96,4,4,4,P49458,41,Signal recognition particle 9 kDa protein OS=Homo sapiens OX=9606 GN=SRP9 PE=1 SV=2,SRP9,10.1,2409
CDC42,191,120,5,5,4,P60953,30,Cell division control protein 42 homolog OS=Homo sapiens OX=9606 GN=CDC42 PE=1 SV=2,CDC42,21.2,2401
FIP1L1,594,90,9,9,9,Q6UN15,25,Pre-mRNA 3'-end-processing factor FIP1 OS=Homo sapiens OX=9606 GN=FIP1L1 PE=1 SV=1,FIP1L1,66.5,2398
RTCB,505,115,8,8,8,Q9Y3I0,17,RNA-splicing ligase RtcB homolog OS=Homo sapiens OX=9606 GN=RTCB PE=1 SV=1,RTCB,55.2,2395
HMGN1,100,83,3,3,3,P05114,31,Non-histone chromosomal protein HMG-14 OS=Homo sapiens OX=9606 GN=HMGN1 PE=1 SV=3,HMGN1,10.7,2390
LRPPRC,1394,97,21,21,21,P42704,16,"Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",LRPPRC,157.8,2376
SAMM50,469,113,11,11,11,Q9Y512,30,Sorting and assembly machinery component 50 homolog OS=Homo sapiens OX=9606 GN=SAMM50 PE=1 SV=3,SAMM50,51.9,2357
MYH1,1939,75,24,24,4,P12882,15,Myosin-1 OS=Homo sapiens OX=9606 GN=MYH1 PE=1 SV=3,MYH1,223.0,2356
WDR12,423,147,13,13,13,Q9GZL7,43,Ribosome biogenesis protein WDR12 OS=Homo sapiens OX=9606 GN=WDR12 PE=1 SV=2,WDR12,47.7,2354
USP39,565,100,10,10,10,Q53GS9,23,U4/U6.U5 tri-snRNP-associated protein 2 OS=Homo sapiens OX=9606 GN=USP39 PE=1 SV=2,USP39,65.3,2351
MRTO4,239,106,10,10,10,Q9UKD2,44,mRNA turnover protein 4 homolog OS=Homo sapiens OX=9606 GN=MRTO4 PE=1 SV=2,MRTO4,27.5,2316
ITPR1,2758,127,15,15,7,Q14643,5,"Inositol 1,4,5-trisphosphate receptor type 1 OS=Homo sapiens OX=9606 GN=ITPR1 PE=1 SV=3",ITPR1,313.7,2308
CPSF1,1443,111,11,11,11,Q10570,10,Cleavage and polyadenylation specificity factor subunit 1 OS=Homo sapiens OX=9606 GN=CPSF1 PE=1 SV=2,CPSF1,160.8,2307
IQGAP1,1657,124,17,17,17,P46940,14,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1,IQGAP1,189.1,2298
UTP3,479,97,6,6,6,Q9NQZ2,19,Something about silencing protein 10 OS=Homo sapiens OX=9606 GN=UTP3 PE=1 SV=1,UTP3,54.5,2291
EXOSC9,439,80,5,5,5,Q06265,13,Exosome complex component RRP45 OS=Homo sapiens OX=9606 GN=EXOSC9 PE=1 SV=3,EXOSC9,48.9,2261
CLK3,638,101,11,11,11,P49761,19,Dual specificity protein kinase CLK3 OS=Homo sapiens OX=9606 GN=CLK3 PE=1 SV=3,CLK3,73.5,2259
ARPC3,178,122,6,6,6,O15145,29,Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens OX=9606 GN=ARPC3 PE=1 SV=3,ARPC3,20.5,2249
SNW1,536,108,13,13,13,Q13573,30,SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1,SNW1,61.5,2247
ZNF768,540,92,5,5,5,Q9H5H4,11,Zinc finger protein 768 OS=Homo sapiens OX=9606 GN=ZNF768 PE=1 SV=2,ZNF768,60.2,2246
MYH4,1939,62,21,21,3,Q9Y623,13,Myosin-4 OS=Homo sapiens OX=9606 GN=MYH4 PE=2 SV=2,MYH4,222.9,2229
SNRPE,92,107,3,3,3,P62304,52,Small nuclear ribonucleoprotein E OS=Homo sapiens OX=9606 GN=SNRPE PE=1 SV=1,SNRPE,10.8,2214
MYO10,2058,113,15,15,15,Q9HD67,9,Unconventional myosin-X OS=Homo sapiens OX=9606 GN=MYO10 PE=1 SV=3,MYO10,237.2,2208
CEBPD,269,118,6,6,6,P49716,31,CCAAT/enhancer-binding protein delta OS=Homo sapiens OX=9606 GN=CEBPD PE=1 SV=2,CEBPD,28.4,2194
PSIP1,530,113,13,13,13,O75475,29,PC4 and SFRS1-interacting protein OS=Homo sapiens OX=9606 GN=PSIP1 PE=1 SV=1,PSIP1,60.1,2171
FAM98A,518,48,4,4,4,Q8NCA5,11,Protein FAM98A OS=Homo sapiens OX=9606 GN=FAM98A PE=1 SV=2,FAM98A,55.2,2160
GNG5,68,105,4,4,4,P63218,72,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 OS=Homo sapiens OX=9606 GN=GNG5 PE=1 SV=3,GNG5,7.3,2156
RPL29,159,67,2,2,2,P47914,14,60S ribosomal protein L29 OS=Homo sapiens OX=9606 GN=RPL29 PE=1 SV=2,RPL29,17.7,2152
RPL35,123,90,3,3,3,P42766,21,60S ribosomal protein L35 OS=Homo sapiens OX=9606 GN=RPL35 PE=1 SV=2,RPL35,14.5,2144
CPT1A,773,116,10,10,10,P50416,14,"Carnitine O-palmitoyltransferase 1, liver isoform OS=Homo sapiens OX=9606 GN=CPT1A PE=1 SV=2",CPT1A,88.3,2136
FMNL1,1100,105,11,11,8,O95466,12,Formin-like protein 1 OS=Homo sapiens OX=9606 GN=FMNL1 PE=1 SV=3,FMNL1,121.8,2127
MAK16,300,54,5,5,5,Q9BXY0,21,Protein MAK16 homolog OS=Homo sapiens OX=9606 GN=MAK16 PE=1 SV=2,MAK16,35.3,2127
ITSN2,1697,136,17,17,16,Q9NZM3,11,Intersectin-2 OS=Homo sapiens OX=9606 GN=ITSN2 PE=1 SV=3,ITSN2,193.3,2126
ATP2A2,1042,72,8,8,8,P16615,11,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens OX=9606 GN=ATP2A2 PE=1 SV=1,ATP2A2,114.7,2124
RBM12B,1001,108,14,14,14,Q8IXT5,16,RNA-binding protein 12B OS=Homo sapiens OX=9606 GN=RBM12B PE=1 SV=2,RBM12B,118.0,2122
PHF14,888,101,17,17,17,O94880,22,PHD finger protein 14 OS=Homo sapiens OX=9606 GN=PHF14 PE=1 SV=2,PHF14,100.0,2121
NUDT21,227,77,5,5,5,O43809,27,Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 SV=1,NUDT21,26.2,2115
PRPF4,522,72,11,11,11,O43172,28,U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens OX=9606 GN=PRPF4 PE=1 SV=2,PRPF4,58.4,2105
WIZ,1651,104,13,13,13,O95785,10,Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=2,WIZ,178.6,2096
RPL7L1,255,113,8,8,8,Q6DKI1,31,60S ribosomal protein L7-like 1 OS=Homo sapiens OX=9606 GN=RPL7L1 PE=1 SV=2,RPL7L1,29.7,2072
JADE3,823,111,15,15,14,Q92613,23,Protein Jade-3 OS=Homo sapiens OX=9606 GN=JADE3 PE=1 SV=1,JADE3,93.7,2066
ATAD3A,634,142,15,15,4,Q9NVI7,23,ATPase family AAA domain-containing protein 3A OS=Homo sapiens OX=9606 GN=ATAD3A PE=1 SV=2,ATAD3A,71.3,2056
RBM15B,890,132,10,10,7,Q8NDT2,11,Putative RNA-binding protein 15B OS=Homo sapiens OX=9606 GN=RBM15B PE=1 SV=3,RBM15B,97.1,2050
KIF18A,898,86,12,12,9,Q8NI77,16,Kinesin-like protein KIF18A OS=Homo sapiens OX=9606 GN=KIF18A PE=1 SV=2,KIF18A,102.2,2012
TIMM50,353,111,6,6,6,Q3ZCQ8,22,Mitochondrial import inner membrane translocase subunit TIM50 OS=Homo sapiens OX=9606 GN=TIMM50 PE=1 SV=2,TIMM50,39.6,1993
IMP3,184,62,4,4,4,Q9NV31,30,U3 small nucleolar ribonucleoprotein protein IMP3 OS=Homo sapiens OX=9606 GN=IMP3 PE=1 SV=1,IMP3,21.8,1990
RALY,306,100,10,10,10,Q9UKM9,39,RNA-binding protein Raly OS=Homo sapiens OX=9606 GN=RALY PE=1 SV=1,RALY,32.4,1985
PLCD3,789,94,14,14,14,Q8N3E9,31,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 OS=Homo sapiens OX=9606 GN=PLCD3 PE=1 SV=3",PLCD3,89.2,1979
C11orf98,123,69,5,5,4,E9PRG8,34,Uncharacterized protein C11orf98 OS=Homo sapiens OX=9606 GN=C11orf98 PE=4 SV=2,C11orf98,14.2,1977
SRP72,671,92,15,15,15,O76094,27,Signal recognition particle subunit SRP72 OS=Homo sapiens OX=9606 GN=SRP72 PE=1 SV=3,SRP72,74.6,1974
PKP1,747,35,5,5,5,Q13835,7,Plakophilin-1 OS=Homo sapiens OX=9606 GN=PKP1 PE=1 SV=2,PKP1,82.8,1963
BST2,180,72,5,5,5,Q10589,24,Bone marrow stromal antigen 2 OS=Homo sapiens OX=9606 GN=BST2 PE=1 SV=1,BST2,19.8,1953
ATXN2L,1075,109,11,11,11,Q8WWM7,12,Ataxin-2-like protein OS=Homo sapiens OX=9606 GN=ATXN2L PE=1 SV=2,ATXN2L,113.3,1949
SLC16A1,500,99,2,2,2,P53985,6,Monocarboxylate transporter 1 OS=Homo sapiens OX=9606 GN=SLC16A1 PE=1 SV=3,SLC16A1,53.9,1947
CSNK2B,215,87,6,6,6,P67870,37,Casein kinase II subunit beta OS=Homo sapiens OX=9606 GN=CSNK2B PE=1 SV=1,CSNK2B,24.9,1946
CHD6,2715,96,11,11,7,Q8TD26,5,Chromodomain-helicase-DNA-binding protein 6 OS=Homo sapiens OX=9606 GN=CHD6 PE=1 SV=4,CHD6,305.2,1942
MYH7,1935,43,11,11,2,P12883,7,Myosin-7 OS=Homo sapiens OX=9606 GN=MYH7 PE=1 SV=5,MYH7,223.0,1942
MEAF6,191,48,3,3,3,Q9HAF1,21,Chromatin modification-related protein MEAF6 OS=Homo sapiens OX=9606 GN=MEAF6 PE=1 SV=1,MEAF6,21.6,1941
PKP3,797,96,12,12,12,Q9Y446,19,Plakophilin-3 OS=Homo sapiens OX=9606 GN=PKP3 PE=1 SV=1,PKP3,87.0,1935
KLHL7,586,104,10,10,10,Q8IXQ5,24,Kelch-like protein 7 OS=Homo sapiens OX=9606 GN=KLHL7 PE=1 SV=2,KLHL7,65.9,1927
ZBTB44,570,56,7,7,7,Q8NCP5,18,Zinc finger and BTB domain-containing protein 44 OS=Homo sapiens OX=9606 GN=ZBTB44 PE=1 SV=1,ZBTB44,63.8,1926
DYNLL2,89,124,5,5,2,Q96FJ2,58,"Dynein light chain 2, cytoplasmic OS=Homo sapiens OX=9606 GN=DYNLL2 PE=1 SV=1",DYNLL2,10.3,1925
CMSS1,279,99,8,8,8,Q9BQ75,31,Protein CMSS1 OS=Homo sapiens OX=9606 GN=CMSS1 PE=1 SV=2,CMSS1,31.9,1915
NAIF1,327,82,8,8,8,Q69YI7,34,Nuclear apoptosis-inducing factor 1 OS=Homo sapiens OX=9606 GN=NAIF1 PE=1 SV=1,NAIF1,35.1,1911
WDR46,610,94,8,8,8,O15213,18,WD repeat-containing protein 46 OS=Homo sapiens OX=9606 GN=WDR46 PE=1 SV=3,WDR46,68.0,1907
NOC4L,516,98,9,9,9,Q9BVI4,24,Nucleolar complex protein 4 homolog OS=Homo sapiens OX=9606 GN=NOC4L PE=1 SV=1,NOC4L,58.4,1898
MTDH,582,64,6,6,6,Q86UE4,15,Protein LYRIC OS=Homo sapiens OX=9606 GN=MTDH PE=1 SV=2,MTDH,63.8,1897
CSNK2A1,391,84,10,10,8,P68400,34,Casein kinase II subunit alpha OS=Homo sapiens OX=9606 GN=CSNK2A1 PE=1 SV=1,CSNK2A1,45.1,1896
ARPC5L,153,68,4,4,4,Q9BPX5,41,Actin-related protein 2/3 complex subunit 5-like protein OS=Homo sapiens OX=9606 GN=ARPC5L PE=1 SV=1,ARPC5L,16.9,1894
TMA16,203,103,7,7,7,Q96EY4,33,Translation machinery-associated protein 16 OS=Homo sapiens OX=9606 GN=TMA16 PE=1 SV=2,TMA16,23.8,1894
SLC7A5,507,108,5,5,5,Q01650,12,Large neutral amino acids transporter small subunit 1 OS=Homo sapiens OX=9606 GN=SLC7A5 PE=1 SV=2,SLC7A5,55.0,1892
CKAP2,683,72,5,5,5,Q8WWK9,10,Cytoskeleton-associated protein 2 OS=Homo sapiens OX=9606 GN=CKAP2 PE=1 SV=1,CKAP2,76.9,1890
ZNF281,895,77,10,10,10,Q9Y2X9,19,Zinc finger protein 281 OS=Homo sapiens OX=9606 GN=ZNF281 PE=1 SV=1,ZNF281,96.9,1887
EXOSC7,291,94,7,7,7,Q15024,29,Exosome complex component RRP42 OS=Homo sapiens OX=9606 GN=EXOSC7 PE=1 SV=3,EXOSC7,31.8,1882
TREX1,314,86,8,8,8,Q9NSU2,37,Three-prime repair exonuclease 1 OS=Homo sapiens OX=9606 GN=TREX1 PE=1 SV=2,TREX1,33.2,1875
CKAP4,602,76,8,8,7,Q07065,13,Cytoskeleton-associated protein 4 OS=Homo sapiens OX=9606 GN=CKAP4 PE=1 SV=2,CKAP4,66.0,1874
SF3B4,424,35,3,3,3,Q15427,14,Splicing factor 3B subunit 4 OS=Homo sapiens OX=9606 GN=SF3B4 PE=1 SV=1,SF3B4,44.4,1855
MRPS27,414,58,4,4,4,Q92552,13,"28S ribosomal protein S27, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS27 PE=1 SV=3",MRPS27,47.6,1852
EGFR,1210,69,12,12,12,P00533,13,Epidermal growth factor receptor OS=Homo sapiens OX=9606 GN=EGFR PE=1 SV=2,EGFR,134.2,1849
VDAC2,294,93,6,6,6,P45880,28,Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2,VDAC2,31.5,1844
ZNF512,567,77,9,9,9,Q96ME7,20,Zinc finger protein 512 OS=Homo sapiens OX=9606 GN=ZNF512 PE=1 SV=2,ZNF512,64.6,1838
NFIC,508,68,7,7,6,P08651,15,Nuclear factor 1 C-type OS=Homo sapiens OX=9606 GN=NFIC PE=1 SV=2,NFIC,55.6,1834
POLR1G,510,103,12,12,12,O15446,48,DNA-directed RNA polymerase I subunit RPA34 OS=Homo sapiens OX=9606 GN=POLR1G PE=1 SV=1,POLR1G,55.0,1824
MAT2A,395,47,9,9,9,P31153,27,S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens OX=9606 GN=MAT2A PE=1 SV=1,MAT2A,43.6,1817
HACD3,362,70,4,4,4,Q9P035,9,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 OS=Homo sapiens OX=9606 GN=HACD3 PE=1 SV=2,HACD3,43.1,1790
BAG2,211,80,8,8,8,O95816,50,BAG family molecular chaperone regulator 2 OS=Homo sapiens OX=9606 GN=BAG2 PE=1 SV=1,BAG2,23.8,1784
CCNT1,726,71,6,6,6,O60563,11,Cyclin-T1 OS=Homo sapiens OX=9606 GN=CCNT1 PE=1 SV=1,CCNT1,80.6,1778
SREK1,508,65,6,6,6,Q8WXA9,17,Splicing regulatory glutamine/lysine-rich protein 1 OS=Homo sapiens OX=9606 GN=SREK1 PE=1 SV=1,SREK1,59.3,1771
MSL3,521,94,10,10,10,Q8N5Y2,20,Male-specific lethal 3 homolog OS=Homo sapiens OX=9606 GN=MSL3 PE=1 SV=1,MSL3,59.8,1768
CCNL1,526,93,9,9,8,Q9UK58,21,Cyclin-L1 OS=Homo sapiens OX=9606 GN=CCNL1 PE=1 SV=1,CCNL1,59.6,1764
MPHOSPH10,681,105,12,12,12,O00566,28,U3 small nucleolar ribonucleoprotein protein MPP10 OS=Homo sapiens OX=9606 GN=MPHOSPH10 PE=1 SV=2,MPHOSPH10,78.8,1763
UTP20,2785,97,16,16,16,O75691,6,Small subunit processome component 20 homolog OS=Homo sapiens OX=9606 GN=UTP20 PE=1 SV=3,UTP20,318.2,1761
P4HB,508,87,6,6,6,P07237,12,Protein disulfide-isomerase OS=Homo sapiens OX=9606 GN=P4HB PE=1 SV=3,P4HB,57.1,1749
PRKAR1A,381,79,7,7,7,P10644,23,cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens OX=9606 GN=PRKAR1A PE=1 SV=1,PRKAR1A,43.0,1746
TIMM13,95,45,3,3,3,Q9Y5L4,37,Mitochondrial import inner membrane translocase subunit Tim13 OS=Homo sapiens OX=9606 GN=TIMM13 PE=1 SV=1,TIMM13,10.5,1745
LRWD1,647,59,7,7,7,Q9UFC0,16,Leucine-rich repeat and WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=LRWD1 PE=1 SV=2,LRWD1,70.8,1744
ZNF451,1061,85,13,13,13,Q9Y4E5,15,E3 SUMO-protein ligase ZNF451 OS=Homo sapiens OX=9606 GN=ZNF451 PE=1 SV=2,ZNF451,121.4,1741
NCBP2,156,49,2,2,2,P52298,12,Nuclear cap-binding protein subunit 2 OS=Homo sapiens OX=9606 GN=NCBP2 PE=1 SV=1,NCBP2,18.0,1740
ZDHHC5,715,56,5,5,5,Q9C0B5,13,Palmitoyltransferase ZDHHC5 OS=Homo sapiens OX=9606 GN=ZDHHC5 PE=1 SV=2,ZDHHC5,77.5,1733
CFAP20,193,75,9,9,9,Q9Y6A4,56,Cilia- and flagella-associated protein 20 OS=Homo sapiens OX=9606 GN=CFAP20 PE=1 SV=1,CFAP20,22.8,1724
PRPF3,683,76,9,9,9,O43395,15,U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens OX=9606 GN=PRPF3 PE=1 SV=2,PRPF3,77.5,1723
TEFM,360,78,8,8,8,Q96QE5,29,"Transcription elongation factor, mitochondrial OS=Homo sapiens OX=9606 GN=TEFM PE=1 SV=1",TEFM,41.7,1721
EEF1A1,462,96,8,8,8,P68104,21,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,EEF1A1,50.1,1718
PHC2,858,44,5,5,4,Q8IXK0,8,Polyhomeotic-like protein 2 OS=Homo sapiens OX=9606 GN=PHC2 PE=1 SV=1,PHC2,90.7,1702
YWHAZ,245,81,7,7,4,P63104,36,14-3-3 protein zeta/delta OS=Homo sapiens OX=9606 GN=YWHAZ PE=1 SV=1,YWHAZ,27.7,1697
PDCD6,191,84,4,4,4,O75340,18,Programmed cell death protein 6 OS=Homo sapiens OX=9606 GN=PDCD6 PE=1 SV=1,PDCD6,21.9,1689
ORC1,861,82,18,18,18,Q13415,25,Origin recognition complex subunit 1 OS=Homo sapiens OX=9606 GN=ORC1 PE=1 SV=2,ORC1,97.3,1681
DCD,110,70,2,2,2,P81605,20,Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2,DCD,11.3,1673
BARX1,254,73,6,6,6,Q9HBU1,31,Homeobox protein BarH-like 1 OS=Homo sapiens OX=9606 GN=BARX1 PE=1 SV=2,BARX1,27.3,1659
CBFB,182,43,5,5,5,Q13951,29,Core-binding factor subunit beta OS=Homo sapiens OX=9606 GN=CBFB PE=1 SV=2,CBFB,21.5,1657
ARPC1B,372,84,11,11,10,O15143,35,Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens OX=9606 GN=ARPC1B PE=1 SV=3,ARPC1B,40.9,1655
ERLIN1,348,89,7,7,5,O75477,23,Erlin-1 OS=Homo sapiens OX=9606 GN=ERLIN1 PE=1 SV=2,ERLIN1,39.1,1652
AP2S1,142,102,5,5,5,P53680,35,AP-2 complex subunit sigma OS=Homo sapiens OX=9606 GN=AP2S1 PE=1 SV=2,AP2S1,17.0,1649
TMEM33,247,38,3,3,3,P57088,12,Transmembrane protein 33 OS=Homo sapiens OX=9606 GN=TMEM33 PE=1 SV=2,TMEM33,28.0,1635
CRNKL1,848,102,17,17,17,Q9BZJ0,22,Crooked neck-like protein 1 OS=Homo sapiens OX=9606 GN=CRNKL1 PE=1 SV=4,CRNKL1,100.4,1617
ZC3H14,736,81,15,15,15,Q6PJT7,30,Zinc finger CCCH domain-containing protein 14 OS=Homo sapiens OX=9606 GN=ZC3H14 PE=1 SV=1,ZC3H14,82.8,1609
RAN,216,76,5,5,5,P62826,25,GTP-binding nuclear protein Ran OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=3,RAN,24.4,1589
MSL1,614,68,7,7,7,Q68DK7,21,Male-specific lethal 1 homolog OS=Homo sapiens OX=9606 GN=MSL1 PE=1 SV=3,MSL1,67.1,1589
MT-CO2,227,82,6,6,6,P00403,31,Cytochrome c oxidase subunit 2 OS=Homo sapiens OX=9606 GN=MT-CO2 PE=1 SV=1,MT-CO2,25.5,1585
AKAP8L,646,72,9,9,9,Q9ULX6,16,A-kinase anchor protein 8-like OS=Homo sapiens OX=9606 GN=AKAP8L PE=1 SV=4,AKAP8L,71.6,1584
SLC16A3,465,100,5,5,5,O15427,12,Monocarboxylate transporter 4 OS=Homo sapiens OX=9606 GN=SLC16A3 PE=1 SV=1,SLC16A3,49.4,1577
SSR4,173,62,5,5,5,P51571,36,Translocon-associated protein subunit delta OS=Homo sapiens OX=9606 GN=SSR4 PE=1 SV=1,SSR4,19.0,1571
SQOR,450,73,11,11,11,Q9Y6N5,29,"Sulfide:quinone oxidoreductase, mitochondrial OS=Homo sapiens OX=9606 GN=SQOR PE=1 SV=1",SQOR,49.9,1554
PROCR,238,57,4,4,4,Q9UNN8,21,Endothelial protein C receptor OS=Homo sapiens OX=9606 GN=PROCR PE=1 SV=1,PROCR,26.7,1551
PHF3,2039,112,19,19,19,Q92576,13,PHD finger protein 3 OS=Homo sapiens OX=9606 GN=PHF3 PE=1 SV=3,PHF3,229.3,1551
EXOSC3,275,55,4,4,4,Q9NQT5,22,Exosome complex component RRP40 OS=Homo sapiens OX=9606 GN=EXOSC3 PE=1 SV=3,EXOSC3,29.6,1548
POF1B,589,44,3,3,3,Q8WVV4,6,Protein POF1B OS=Homo sapiens OX=9606 GN=POF1B PE=1 SV=3,POF1B,68.0,1535
RPN1,607,94,12,12,12,P04843,22,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=RPN1 PE=1 SV=1,RPN1,68.5,1533
QSER1,1735,81,15,15,15,Q2KHR3,12,Glutamine and serine-rich protein 1 OS=Homo sapiens OX=9606 GN=QSER1 PE=1 SV=3,QSER1,189.9,1531
RPS26,115,108,3,3,3,P62854,27,40S ribosomal protein S26 OS=Homo sapiens OX=9606 GN=RPS26 PE=1 SV=3,RPS26,13.0,1527
MYOF,2061,53,12,12,12,Q9NZM1,6,Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1,MYOF,234.6,1527
ZSCAN29,852,62,8,8,8,Q8IWY8,11,Zinc finger and SCAN domain-containing protein 29 OS=Homo sapiens OX=9606 GN=ZSCAN29 PE=1 SV=2,ZSCAN29,96.7,1520
